month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,64.98,13.21,51.77
2,57.92,15.86,42.06
3,61.4,21.32,40.08
4,65.69,58.41,7.28
5,93.65,93.65,0.0
6,115.4,115.4,0.0
7,114.21,114.21,0.0
8,97.93,97.93,0.0
9,105.61,105.52,0.1
10,92.42,90.09,2.33
11,95.81,72.34,23.47
12,80.24,22.58,57.66
