month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,312.9,293.97,18.93
2,222.66,212.85,9.81
3,202.17,200.17,2.0
4,193.19,192.92,0.27
5,140.82,140.82,0.0
6,127.61,127.61,0.0
7,64.32,64.32,0.0
8,83.88,83.88,0.0
9,82.39,82.39,0.0
10,276.52,274.59,1.93
11,348.05,345.64,2.42
12,278.03,262.06,15.97
