month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,21.66,0.01,21.65
2,21.22,0.05,21.17
3,21.2,1.58,19.62
4,25.87,9.32,16.55
5,43.95,38.79,5.17
6,69.87,69.53,0.34
7,79.45,79.45,0.0
8,73.07,73.07,0.0
9,67.44,66.74,0.7
10,43.22,25.75,17.47
11,32.04,0.66,31.38
12,21.56,0.02,21.54
