month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,601.94,574.51,27.43
2,428.53,400.27,28.26
3,428.43,414.57,13.86
4,389.14,386.89,2.25
5,257.7,257.69,0.01
6,226.21,226.21,0.0
7,179.81,179.81,0.0
8,231.36,231.36,0.0
9,365.97,365.97,0.0
10,631.8,629.95,1.85
11,677.75,670.13,7.62
12,628.12,606.23,21.89
