month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,146.99,83.43,58.49
2,137.96,77.88,56.64
3,143.63,100.1,41.2
4,147.52,127.85,17.85
5,127.64,126.85,0.79
6,113.07,113.07,0.0
7,108.38,108.38,0.0
8,107.82,107.82,0.0
9,133.03,133.03,0.0
10,158.32,158.32,0.0
11,168.91,160.66,8.2
12,153.06,106.25,44.61
