month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,75.0,22.15,52.84
2,57.77,15.47,42.3
3,67.11,31.9,35.21
4,85.37,75.95,9.46
5,91.63,91.52,0.12
6,107.32,107.32,0.0
7,103.21,103.21,0.0
8,105.04,105.04,0.0
9,104.78,104.68,0.1
10,100.29,97.03,3.26
11,91.4,70.54,20.86
12,82.22,23.24,58.98
