month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,24.51,0.33,24.18
2,20.73,1.8,18.92
3,22.92,5.89,17.83
4,29.85,16.83,13.01
5,68.82,63.85,4.97
6,89.5,89.5,0.0
7,76.67,76.67,0.0
8,60.18,60.18,0.0
9,43.57,43.0,0.56
10,40.43,29.79,10.64
11,25.72,3.75,21.97
12,26.96,0.59,26.37
