month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,126.57,73.09,53.48
2,101.27,60.57,40.7
3,130.11,84.93,45.18
4,116.03,105.78,10.25
5,130.23,130.23,0.0
6,111.02,111.02,0.0
7,107.3,107.3,0.0
8,97.96,97.96,0.0
9,120.93,120.93,0.0
10,115.81,115.76,0.05
11,140.43,132.24,8.27
12,132.02,97.91,34.1
