month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,14.16,0.02,14.14
2,8.59,0.18,8.41
3,13.49,1.4,12.09
4,19.02,12.39,6.63
5,44.62,43.36,1.26
6,72.96,72.96,0.0
7,54.89,54.89,0.0
8,35.11,35.11,0.0
9,32.68,31.78,0.91
10,12.33,7.36,4.97
11,14.77,1.32,13.45
12,14.77,0.94,13.83
