month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,28.32,0.08,33.63
2,19.35,1.55,20.05
3,27.55,7.11,19.82
4,36.14,23.76,12.08
5,75.55,72.65,2.71
6,113.5,113.49,0.01
7,97.59,97.59,0.0
8,87.31,87.31,0.0
9,89.37,88.2,1.17
10,56.48,43.06,12.39
11,44.1,11.63,33.14
12,29.43,0.83,33.82
