month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,13.09,0.0,13.09
2,14.35,1.01,13.34
3,21.63,0.93,20.7
4,22.16,10.73,11.44
5,52.26,46.76,5.5
6,86.89,86.89,0.0
7,103.21,103.21,0.0
8,68.1,68.1,0.0
9,55.61,52.93,2.68
10,24.24,16.22,8.02
11,11.41,1.65,9.76
12,11.64,0.0,11.64
