month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,14.38,0.1,14.28
2,10.21,0.0,10.21
3,17.1,2.03,15.07
4,19.09,12.74,6.34
5,53.46,48.8,4.66
6,73.23,73.23,0.0
7,61.6,61.6,0.0
8,47.09,47.09,0.0
9,36.7,35.77,0.93
10,19.37,11.79,7.57
11,14.47,0.97,13.5
12,15.1,0.0,15.1
