month,h_all_precip_mm,h_rain_mm,h_snow_cm
1,15.55,0.01,15.54
2,18.44,0.06,18.37
3,15.74,2.1,13.64
4,19.21,6.82,12.39
5,41.97,38.08,3.89
6,68.33,68.1,0.23
7,76.87,76.87,0.0
8,70.44,70.44,0.0
9,59.88,59.42,0.46
10,34.42,25.92,8.5
11,25.27,1.69,23.58
12,23.32,0.41,22.91
