,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,1.0,1987,1984-1987,-11.5,1986,1984-1987
1,1,2,,,1.0,1987,1984-1987,-21.0,1985,1984-1987
2,1,3,,,-1.0,1984,1984-1987,-16.0,1985,1984-1987
3,1,4,,,1.0,1987,1984-1987,-25.5,1986,1984-1987
4,1,5,,,0.5,1984,1984-1987,-16.0,1985,1984-1987
5,1,6,,,1.0,1987,1984-1987,-17.0,1986,1984-1987
6,1,7,,,-1.0,1987,1984-1987,-32.0,1986,1984-1987
7,1,8,,,0.0,1987,1984-1987,-34.0,1986,1984-1987
8,1,9,,,1.0,1986,1984-1987,-33.0,1985,1984-1987
9,1,10,,,0.0,1986,1984-1987,-30.0,1985,1984-1987
10,1,11,,,4.0,1986,1984-1987,-30.0,1984,1984-1987
11,1,12,,,1.0,1986,1984-1987,-32.0,1984,1984-1987
12,1,13,,,2.0,1987,1984-1987,-19.0,1986,1984-1987
13,1,14,,,1.0,1987,1984-1987,-28.0,1986,1984-1987
14,1,15,,,0.0,1987,1984-1987,-34.5,1984,1984-1987
15,1,16,,,2.0,1986,1984-1987,-35.0,1984,1984-1987
16,1,17,,,8.0,1986,1984-1987,-20.0,1987,1984-1987
17,1,18,,,5.5,1986,1984-1987,-13.0,1985,1984-1987
18,1,19,,,6.0,1986,1984-1987,-20.5,1987,1984-1987
19,1,20,,,-1.0,1986,1984-1987,-25.0,1985,1984-1987
20,1,21,,,2.0,1986,1984-1987,-38.0,1984,1984-1987
21,1,22,,,2.5,1986,1984-1987,-21.0,1984,1984-1987
22,1,23,,,-1.5,1984,1984-1987,-22.0,1986,1984-1987
23,1,24,,,1.0,1984,1984-1987,-23.5,1987,1984-1987
24,1,25,,,2.5,1986,1984-1987,-25.5,1987,1984-1987
25,1,26,,,1.0,1986,1984-1987,-26.0,1987,1984-1987
26,1,27,,,-1.5,1984,1984-1987,-25.0,1986,1984-1987
27,1,28,,,-4.5,1987,1984-1987,-27.5,1984,1984-1987
28,1,29,,,-3.0,1984,1984-1987,-25.0,1985,1984-1987
29,1,30,,,-4.0,1985,1984-1987,-23.0,1986,1984-1987
30,1,31,,,-3.5,1987,1984-1987,-25.5,1984,1984-1987
31,2,1,,,-6.0,1985,1984-1985,-32.0,1984,1984-1986
32,2,2,,,3.0,1984,1984-1986,-20.0,1985,1984-1985
33,2,3,,,3.0,1984,1984-1986,-24.0,1985,1984-1986
34,2,4,,,1.0,1984,1984-1986,-26.0,1985,1984-1986
35,2,5,,,2.0,1986,1984-1986,-16.0,1985,1984-1986
36,2,6,,,-6.0,1985,1984-1986,-19.0,1986,1984-1986
37,2,7,,,-6.0,1986,1984-1986,-27.0,1984,1984-1986
38,2,8,,,-4.5,1984,1984-1985,-27.0,1984,1984-1985
39,2,9,,,-2.0,1986,1984-1986,-16.0,1986,1984-1986
40,2,10,,,3.0,1984,1984-1986,-11.0,1985,1984-1986
41,2,11,,,3.0,1984,1984-1986,-27.0,1986,1984-1986
42,2,12,,,3.0,1984,1984-1986,-28.0,1986,1984-1986
43,2,13,,,8.5,1984,1984-1986,-14.0,1986,1984-1986
44,2,14,,,7.0,1984,1984-1985,-8.0,1985,1984-1985
45,2,15,,,8.5,1984,1984-1985,-21.0,1986,1984-1986
46,2,16,,,12.0,1984,1984-1986,-12.5,1985,1984-1985
47,2,17,,,7.5,1984,1984-1986,-8.0,1985,1984-1985
48,2,18,,,3.5,1984,1984-1986,-13.5,1985,1984-1986
49,2,19,,,7.0,1984,1984-1986,-6.0,1985,1984-1986
50,2,20,,,1.5,1984,1984-1986,-12.5,1985,1984-1986
51,2,21,,,4.0,1985,1984-1986,-13.0,1986,1984-1986
52,2,22,,,6.0,1984,1984-1985,-22.0,1986,1984-1986
53,2,23,,,12.5,1984,1984-1986,-4.0,1984,1984-1985
54,2,24,,,4.5,1985,1984-1986,-18.0,1986,1984-1986
55,2,25,,,0.0,1984,1984-1986,-23.0,1986,1984-1986
56,2,26,,,2.5,1985,1984-1986,-30.0,1986,1984-1986
57,2,27,,,-2.0,1984,1984-1986,-28.0,1986,1984-1986
58,2,28,,,4.5,1985,1984-1986,-21.0,1985,1984-1985
59,2,29,,,-10.5,1984,1984-1984,-16.0,1984,1984-1984
60,3,1,,,7.0,1985,1984-1986,-17.5,1984,1984-1986
