,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,8,,,,,-,,,-
1,1,9,,,,,-,,,-
2,1,10,,,,,-,,,-
3,1,11,,,,,-,,,-
4,1,12,,,,,-,,,-
5,1,13,,,,,-,,,-
6,1,14,,,,,-,,,-
7,1,15,,,,,-,,,-
8,5,1,,,,,-,,,-
9,5,2,,,,,-,,,-
10,5,3,,,,,-,,,-
11,5,4,,,,,-,,,-
12,5,5,,,,,-,,,-
13,5,6,,,,,-,,,-
14,5,7,,,,,-,,,-
15,5,8,,,,,-,,,-
16,5,9,,,,,-,,,-
17,5,10,,,,,-,,,-
18,5,11,,,,,-,,,-
19,5,12,,,,,-,,,-
20,5,13,,,,,-,,,-
21,5,14,,,,,-,,,-
22,5,15,,,,,-,,,-
23,5,16,,,,,-,,,-
24,5,17,,,,,-,,,-
25,5,18,,,,,-,,,-
26,5,19,,,,,-,,,-
27,5,20,,,,,-,,,-
28,5,21,,,,,-,,,-
29,5,22,,,,,-,,,-
30,5,23,,,,,-,,,-
31,5,24,,,,,-,,,-
32,5,25,,,,,-,,,-
33,5,26,,,,,-,,,-
34,5,27,,,,,-,,,-
35,5,28,,,,,-,,,-
36,5,29,,,,,-,,,-
37,5,30,,,,,-,,,-
38,5,31,,,,,-,,,-
39,6,1,,,,,-,,,-
40,6,2,,,,,-,,,-
41,6,3,,,,,-,,,-
42,6,4,,,,,-,,,-
43,6,5,,,,,-,,,-
44,6,6,,,,,-,,,-
45,6,7,,,,,-,,,-
46,6,8,,,,,-,,,-
47,6,9,,,,,-,,,-
48,6,10,,,,,-,,,-
49,6,11,,,,,-,,,-
50,6,12,,,,,-,,,-
51,6,13,,,,,-,,,-
52,6,14,,,,,-,,,-
53,6,15,,,,,-,,,-
54,6,16,,,,,-,,,-
55,6,17,,,,,-,,,-
56,6,18,,,,,-,,,-
57,6,19,,,,,-,,,-
58,6,20,,,,,-,,,-
59,6,21,,,,,-,,,-
60,6,22,,,,,-,,,-
61,6,23,,,,,-,,,-
62,6,24,,,,,-,,,-
63,6,25,,,,,-,,,-
64,6,26,,,,,-,,,-
65,6,27,,,,,-,,,-
66,6,28,,,,,-,,,-
67,6,29,,,,,-,,,-
68,6,30,,,,,-,,,-
69,7,1,,,,,-,,,-
70,7,2,,,,,-,,,-
71,7,3,,,,,-,,,-
72,7,4,,,,,-,,,-
73,7,5,,,,,-,,,-
74,7,6,,,,,-,,,-
75,7,7,,,,,-,,,-
76,7,8,,,,,-,,,-
77,7,9,,,,,-,,,-
78,7,10,,,,,-,,,-
79,7,11,,,,,-,,,-
80,7,12,,,,,-,,,-
81,7,13,,,,,-,,,-
