,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,-1.3,-7.7,11.7,1963,1951-2013,-30.0,1952,1951-2013
1,1,2,-1.3,-7.7,10.2,2007,1951-2013,-26.7,1952,1951-2013
2,1,3,-1.3,-7.8,9.9,1987,1951-2013,-23.3,1979,1951-2013
3,1,4,-1.4,-7.8,12.0,2012,1951-2013,-25.6,1965,1951-2013
4,1,5,-1.4,-7.9,12.6,2001,1951-2013,-26.8,1991,1951-2013
5,1,6,-1.4,-7.9,10.1,1990,1951-2013,-29.1,1979,1951-2013
6,1,7,-1.4,-7.9,13.4,1990,1951-2013,-29.5,1979,1951-2013
7,1,8,-1.4,-8.0,11.2,1986,1951-2013,-25.2,1979,1951-2013
8,1,9,-1.4,-8.0,11.9,2012,1951-2013,-28.6,1979,1951-2013
9,1,10,-1.4,-8.0,13.3,1959,1951-2013,-25.5,1993,1951-2013
10,1,11,-1.3,-8.0,13.1,1996,1951-2013,-27.8,1975,1951-2013
11,1,12,-1.3,-8.0,10.6,1959,1951-2013,-26.2,1993,1951-2013
12,1,13,-1.3,-7.9,9.4,1983,1951-2013,-28.9,1957,1951-2013
13,1,14,-1.2,-7.9,13.3,1961,1951-2013,-26.9,2005,1951-2013
14,1,15,-1.2,-7.9,12.8,1974,1951-2013,-27.7,2005,1951-2013
15,1,16,-1.1,-7.8,12.2,1974,1951-2013,-28.3,1954,1951-2013
16,1,17,-1.0,-7.8,10.0,1958,1951-2013,-27.2,1957,1951-2013
17,1,18,-1.0,-7.7,9.2,2010,1951-2013,-29.4,1954,1951-2013
18,1,19,-0.9,-7.7,11.7,1968,1951-2013,-28.3,1954,1951-2013
19,1,20,-0.8,-7.6,13.3,1968,1951-2013,-30.0,1962,1951-2013
20,1,21,-0.7,-7.5,9.0,1981,1951-2013,-28.9,1969,1951-2013
21,1,22,-0.6,-7.5,8.7,1981,1951-2013,-33.3,1969,1951-2013
