,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,-9.0,-19.3,3.9,2007,1912-2007,-35.0,1918,1912-2007
1,1,2,-9.1,-19.4,13.3,1913,1912-2007,-33.0,1994,1912-2007
2,1,3,-9.2,-19.5,5.9,1998,1912-2007,-42.0,1981,1912-2007
3,1,4,-9.3,-19.6,5.1,2007,1912-2007,-38.0,1981,1912-2007
4,1,5,-9.4,-19.8,6.0,2007,1912-2007,-41.1,1972,1912-2007
5,1,6,-9.4,-19.9,10.0,1930,1912-2007,-38.9,1912,1912-2007
6,1,7,-9.5,-20.0,5.0,1989,1912-2007,-36.7,1912,1912-2007
7,1,8,-9.6,-20.0,6.1,1949,1912-2007,-39.4,1942,1912-2007
8,1,9,-9.6,-20.1,3.3,1914,1912-2007,-36.7,1968,1912-2007
9,1,10,-9.6,-20.2,6.7,1939,1912-2007,-41.1,1942,1912-2007
10,1,11,-9.7,-20.3,7.8,1975,1912-2007,-43.0,1979,1912-2007
11,1,12,-9.7,-20.4,2.3,2006,1912-2007,-38.9,1926,1912-2007
12,1,13,-9.8,-20.4,8.3,2005,1912-2007,-40.0,1912,1912-2007
13,1,14,-9.8,-20.5,9.0,1995,1912-2007,-38.9,1957,1912-2007
14,1,15,-9.8,-20.5,6.1,1949,1912-2007,-41.1,1957,1912-2007
15,1,16,-9.8,-20.6,6.7,1926,1912-2007,-40.6,1972,1912-2007
16,1,17,-9.8,-20.6,8.9,1913,1912-2007,-42.0,1982,1912-2007
17,1,18,-9.8,-20.7,9.0,1996,1912-2007,-39.0,1982,1912-2007
18,1,19,-9.8,-20.7,7.0,1996,1912-2007,-39.4,1950,1912-2007
19,1,20,-9.8,-20.8,4.4,1926,1912-2007,-40.0,1950,1912-2007
20,1,21,-9.8,-20.8,5.6,1957,1912-2007,-39.4,1950,1912-2007
21,1,22,-9.8,-20.8,5.6,1916,1912-2007,-37.8,1963,1912-2007
22,1,23,-9.7,-20.8,10.6,1969,1912-2007,-39.4,1963,1912-2007
23,1,24,-9.7,-20.8,8.2,1999,1912-2007,-40.6,1935,1912-2007
24,1,25,-9.7,-20.8,6.7,1967,1912-2007,-39.0,1991,1912-2007
25,1,26,-9.6,-20.8,6.7,1973,1912-2007,-38.9,1912,1912-2007
26,1,27,-9.6,-20.8,5.6,1914,1912-2007,-41.7,1918,1912-2007
27,1,28,-9.5,-20.8,4.5,1989,1912-2007,-41.1,1918,1912-2007
28,1,29,-9.4,-20.8,6.7,1914,1912-2007,-42.2,1926,1912-2007
