,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,0.9,-9.4,12.8,1979,1962-2009,-25.6,1972,1962-2009
1,1,2,0.8,-9.5,14.4,1979,1962-2009,-21.0,1999,1962-2009
2,1,3,0.8,-9.6,12.8,1979,1962-2009,-18.0,1988,1962-2009
3,1,4,0.7,-9.7,16.0,2000,1962-2009,-24.0,1981,1962-2009
4,1,5,0.7,-9.8,14.5,1993,1962-2009,-30.0,1981,1962-2009
5,1,6,0.6,-9.9,7.5,1992,1962-2009,-26.7,1972,1962-2009
6,1,7,0.5,-10.0,12.8,1979,1962-2009,-24.4,1972,1962-2009
7,1,8,0.5,-10.0,15.0,1979,1962-2009,-22.5,1988,1962-2009
8,1,9,0.4,-10.1,18.0,1999,1962-2009,-25.6,1972,1962-2009
9,1,10,0.4,-10.2,10.0,1983,1962-2009,-23.9,1968,1962-2009
10,1,11,0.3,-10.3,13.0,1983,1962-2009,-27.0,1988,1962-2009
11,1,12,0.3,-10.3,14.4,1975,1962-2009,-23.9,1965,1962-2009
12,1,13,0.2,-10.4,12.8,1972,1962-2009,-25.0,1968,1962-2009
13,1,14,0.2,-10.5,13.0,2006,1962-2009,-28.3,1971,1962-2009
14,1,15,0.2,-10.5,16.0,1995,1962-2009,-25.5,1993,1962-2009
15,1,16,0.1,-10.6,19.5,1995,1962-2009,-30.5,2004,1962-2009
16,1,17,0.1,-10.6,15.0,1995,1962-2009,-27.0,1994,1962-2009
17,1,18,0.1,-10.7,11.5,2006,1962-2009,-28.9,1971,1962-2009
18,1,19,0.1,-10.7,15.0,1973,1962-2009,-26.1,1971,1962-2009
19,1,20,0.0,-10.7,11.0,1986,1962-2009,-26.5,1994,1962-2009
20,1,21,0.0,-10.8,10.0,2006,1962-2009,-24.5,1984,1962-2009
21,1,22,0.0,-10.8,10.5,1997,1962-2009,-26.0,1981,1962-2009
22,1,23,0.0,-10.9,11.7,1969,1962-2009,-27.5,1982,1962-2009
23,1,24,0.0,-10.9,16.0,1999,1962-2009,-22.2,1965,1962-2009
24,1,25,0.0,-10.9,12.0,1990,1962-2009,-22.2,1970,1962-2009
25,1,26,-0.1,-10.9,15.5,1990,1962-2009,-24.5,2005,1962-2009
26,1,27,-0.1,-10.9,15.6,1976,1962-2009,-32.0,1994,1962-2009
