,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,0.0,1990,1990-2015,-37.0,1993,1990-2015
1,1,2,,,5.0,2007,1990-2015,-35.0,2014,1990-2015
2,1,3,,,9.0,2007,1990-2015,-32.0,2015,1990-2015
3,1,4,,,6.0,2008,1990-2015,-34.5,1996,1990-2015
4,1,5,,,23.0,2009,1990-2015,-37.0,1996,1990-2015
5,1,6,,,12.0,2003,1990-2015,-37.0,1991,1990-2015
6,1,7,,,13.5,2003,1990-2015,-35.0,1994,1990-2015
7,1,8,,,11.0,2002,1990-2015,-36.0,1993,1990-2015
8,1,9,,,7.0,2012,1990-2015,-38.5,1991,1990-2015
9,1,10,,,5.0,2002,1990-2015,-35.5,1991,1990-2015
10,1,11,,,7.5,1996,1990-2015,-38.0,1994,1990-2015
11,1,12,,,2.5,2010,1990-2015,-40.0,2007,1990-2015
12,1,13,,,0.0,2010,1990-2015,-33.5,1994,1990-2015
13,1,14,,,11.0,2010,1990-2015,-36.5,2007,1990-2015
14,1,15,,,5.0,1999,1990-2015,-37.0,1994,1990-2015
15,1,16,,,3.5,2009,1990-2015,-38.0,2005,1990-2015
16,1,17,,,5.0,2009,1990-2015,-39.0,1994,1990-2015
17,1,18,,,6.5,1991,1990-2015,-39.5,1996,1990-2015
18,1,19,,,5.5,2009,1990-2015,-38.0,1996,1990-2015
19,1,20,,,7.5,2009,1990-2015,-38.0,1996,1990-2015
20,1,21,,,7.0,1993,1990-2015,-36.0,1996,1990-2015
21,1,22,,,9.0,2015,1990-2015,-33.0,2003,1990-2015
22,1,23,,,6.0,2015,1990-2015,-35.5,2002,1990-2015
23,1,24,,,0.0,2014,1990-2015,-34.0,2013,1990-2015
24,1,25,,,6.0,2015,1990-2015,-37.5,1997,1990-2015
25,1,26,,,7.0,2006,1990-2015,-37.5,1997,1990-2015
26,1,27,,,3.0,1992,1990-2015,-35.0,2014,1991-2015
27,1,28,,,8.0,2001,1990-2015,-41.0,2004,1990-2015
28,1,29,,,3.0,1993,1990-2015,-41.0,2004,1990-2015
29,1,30,,,12.5,1993,1990-2015,-39.0,1990,1990-2015
