,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,8.9,1962,1935-1972,-36.1,1950,1935-1972
1,1,2,,,8.3,1962,1935-1972,-37.8,1950,1935-1972
2,1,3,,,7.8,1947,1935-1972,-43.3,1950,1935-1972
3,1,4,,,8.3,1958,1935-1972,-41.1,1966,1935-1972
4,1,5,,,7.2,1963,1935-1972,-42.8,1950,1935-1972
5,1,6,,,9.4,1963,1935-1972,-40.0,1968,1935-1972
6,1,7,,,8.3,1958,1935-1972,-38.3,1968,1935-1972
7,1,8,,,8.9,1943,1935-1972,-40.0,1950,1935-1972
8,1,9,,,15.6,1943,1935-1972,-40.6,1950,1935-1972
9,1,10,,,6.1,1945,1935-1972,-38.3,1950,1935-1972
10,1,11,,,6.7,1942,1935-1972,-42.2,1971,1935-1972
11,1,12,,,6.7,1942,1935-1972,-42.2,1965,1935-1972
12,1,13,,,11.7,1943,1935-1972,-40.6,1972,1935-1972
13,1,14,,,7.8,1961,1935-1972,-46.7,1950,1935-1972
14,1,15,,,7.8,1961,1935-1972,-46.7,1950,1935-1972
15,1,16,,,6.1,1942,1935-1972,-42.8,1970,1935-1972
16,1,17,,,5.6,1942,1935-1972,-47.2,1950,1935-1972
17,1,18,,,7.8,1971,1935-1972,-40.0,1950,1935-1972
18,1,19,,,10.6,1944,1935-1972,-43.3,1935,1935-1972
19,1,20,,,8.3,1968,1935-1972,-45.6,1943,1935-1972
20,1,21,,,7.8,1942,1935-1972,-43.3,1943,1935-1972
21,1,22,,,6.7,1942,1935-1972,-45.0,1969,1935-1972
22,1,23,,,10.0,1968,1935-1972,-43.9,1943,1935-1972
23,1,24,,,6.1,1944,1935-1972,-43.9,1969,1935-1972
24,1,25,,,5.6,1942,1935-1972,-48.9,1950,1935-1972
25,1,26,,,4.4,1942,1935-1972,-48.3,1972,1935-1972
26,1,27,,,6.7,1955,1935-1972,-45.0,1972,1935-1972
27,1,28,,,8.9,1962,1935-1972,-43.9,1969,1935-1972
28,1,29,,,7.8,1940,1935-1972,-45.6,1950,1935-1972
29,1,30,,,7.8,1935,1935-1972,-46.7,1969,1935-1972
30,1,31,,,8.3,1962,1935-1972,-46.7,1969,1935-1972
31,2,1,,,11.1,1962,1935-1972,-43.9,1947,1935-1972
32,2,2,,,10.0,1954,1935-1972,-41.7,1963,1935-1972
33,2,3,,,10.6,1954,1935-1972,-38.3,1947,1935-1972
34,2,4,,,11.1,1954,1935-1972,-36.7,1947,1935-1972
35,2,5,,,11.1,1954,1935-1972,-36.7,1936,1935-1972
36,2,6,,,10.6,1961,1935-1972,-37.2,1936,1935-1972
37,2,7,,,15.0,1954,1935-1972,-37.8,1936,1935-1972
38,2,8,,,14.4,1954,1935-1972,-42.2,1936,1935-1972
39,2,9,,,7.8,1940,1935-1972,-38.9,1949,1935-1972
40,2,10,,,7.8,1961,1935-1972,-36.7,1944,1935-1972
41,2,11,,,3.9,1952,1935-1972,-38.9,1936,1935-1972
42,2,12,,,4.4,1952,1935-1972,-40.6,1949,1935-1972
43,2,13,,,7.8,1971,1935-1972,-43.3,1936,1935-1972
44,2,14,,,5.0,1955,1935-1972,-42.8,1936,1935-1972
45,2,15,,,5.6,1955,1935-1972,-47.8,1936,1935-1972
46,2,16,,,7.2,1957,1935-1972,-50.6,1936,1935-1972
47,2,17,,,7.2,1954,1935-1972,-41.7,1961,1935-1972
