,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,13.0,1980,1975-1983,-5.0,1978,1975-1983
1,1,2,,,14.0,1980,1975-1983,-8.5,1979,1975-1983
2,1,3,,,14.0,1980,1975-1983,-7.5,1978,1975-1983
3,1,4,,,12.0,1980,1975-1983,-5.0,1978,1975-1983
4,1,5,,,11.5,1980,1975-1983,-7.0,1978,1975-1983
5,1,6,,,13.0,1980,1975-1983,-5.0,1982,1975-1983
6,1,7,,,14.0,1980,1975-1983,-6.7,1977,1975-1983
7,1,8,,,14.0,1980,1975-1983,-4.5,1979,1975-1983
8,1,9,,,11.0,1978,1975-1983,-6.5,1980,1975-1983
9,1,10,,,10.0,1983,1975-1983,-9.0,1980,1975-1983
10,1,11,,,11.0,1981,1975-1983,-8.3,1975,1975-1983
11,1,12,,,13.0,1981,1975-1983,-5.0,1975,1975-1983
12,1,13,,,12.5,1981,1975-1983,-1.7,1975,1975-1983
13,1,14,,,14.0,1981,1975-1983,-3.9,1975,1975-1983
14,1,15,,,11.0,1981,1975-1983,-4.4,1975,1975-1983
15,1,16,,,12.5,1978,1975-1983,-6.0,1978,1975-1983
16,1,17,,,12.0,1980,1975-1983,-1.0,1980,1975-1983
17,1,18,,,12.5,1978,1975-1983,-3.5,1978,1975-1983
18,1,19,,,12.5,1978,1975-1983,-0.5,1982,1975-1983
19,1,20,,,13.0,1981,1975-1983,-2.0,1982,1975-1983
20,1,21,,,14.0,1981,1975-1983,-3.5,1982,1975-1983
21,1,22,,,11.5,1981,1975-1983,-3.5,1982,1975-1983
22,1,23,,,9.5,1978,1975-1983,-2.0,1982,1975-1983
23,1,24,,,8.3,1977,1975-1983,-2.8,1977,1975-1983
24,1,25,,,8.3,1977,1975-1983,-6.0,1979,1975-1983
25,1,26,,,8.5,1983,1975-1983,-7.0,1979,1975-1983
26,1,27,,,9.5,1983,1975-1983,-2.8,1975,1975-1983
27,1,28,,,9.4,1976,1975-1983,-2.5,1980,1975-1983
28,1,29,,,9.0,1978,1975-1983,-5.6,1975,1975-1983
29,1,30,,,9.0,1981,1975-1983,-2.2,1975,1975-1983
30,1,31,,,10.0,1977,1975-1983,-2.2,1975,1975-1983
31,2,1,,,10.0,1978,1975-1982,-4.5,1979,1975-1982
32,2,2,,,10.0,1977,1975-1982,-3.3,1975,1975-1982
33,2,3,,,10.0,1977,1975-1982,-3.3,1975,1975-1982
34,2,4,,,12.0,1978,1975-1982,-3.9,1975,1975-1982
35,2,5,,,14.0,1978,1975-1982,-4.4,1975,1975-1982
36,2,6,,,12.0,1978,1975-1982,-2.8,1976,1975-1982
37,2,7,,,12.2,1977,1975-1982,-1.1,1975,1975-1982
38,2,8,,,12.2,1977,1975-1982,-2.2,1975,1975-1982
39,2,9,,,8.3,1977,1975-1982,-3.0,1981,1975-1982
40,2,10,,,9.5,1978,1975-1982,-4.4,1975,1975-1982
41,2,11,,,12.0,1981,1975-1982,-7.8,1975,1975-1982
42,2,12,,,12.2,1977,1975-1982,-4.4,1975,1975-1982
43,2,13,,,12.2,1977,1975-1982,-2.8,1975,1975-1982
44,2,14,,,16.1,1977,1975-1982,-5.6,1975,1975-1982
45,2,15,,,12.0,1981,1975-1982,-2.2,1977,1975-1982
46,2,16,,,12.0,1981,1975-1982,-2.2,1975,1975-1982
47,2,17,,,10.0,1977,1975-1982,-3.9,1977,1975-1982
48,2,18,,,10.6,1977,1975-1982,0.5,1982,1975-1982
49,2,19,,,13.9,1977,1975-1982,0.0,1975,1975-1982
50,2,20,,,15.0,1977,1975-1982,-2.8,1975,1975-1982
51,2,21,,,12.8,1977,1975-1982,-1.7,1975,1975-1982
52,2,22,,,12.2,1977,1975-1982,-5.0,1980,1975-1982
53,2,23,,,13.5,1978,1975-1982,-3.0,1980,1975-1982
54,2,24,,,16.0,1978,1975-1982,-5.0,1977,1975-1982
55,2,25,,,14.0,1978,1975-1982,-3.0,1981,1975-1982
56,2,26,,,15.0,1978,1975-1982,-3.3,1976,1975-1982
57,2,27,,,11.0,1978,1975-1982,-2.8,1976,1975-1982
58,2,28,,,12.0,1978,1975-1982,-1.0,1978,1975-1982
59,2,29,,,5.5,1980,1976-1980,0.0,1976,1976-1980
60,3,1,,,9.5,1981,1975-1982,-2.5,1978,1975-1982
61,3,2,,,11.1,1975,1975-1982,-12.2,1976,1975-1982
62,3,3,,,10.0,1978,1975-1982,-11.7,1976,1975-1982
63,3,4,,,10.0,1978,1975-1982,-8.9,1976,1975-1982
64,3,5,,,10.0,1978,1975-1982,-9.4,1976,1975-1982
65,3,6,,,11.0,1979,1975-1982,-6.1,1975,1975-1982
66,3,7,,,13.0,1978,1975-1982,-2.2,1975,1975-1982
67,3,8,,,11.0,1978,1975-1982,-5.0,1976,1975-1982
68,3,9,,,15.0,1981,1975-1982,-2.8,1975,1975-1982
69,3,10,,,15.5,1979,1975-1982,-1.0,1979,1975-1982
70,3,11,,,15.0,1981,1975-1982,-3.9,1975,1975-1982
71,3,12,,,16.0,1981,1975-1982,-3.0,1981,1975-1982
72,3,13,,,13.0,1981,1975-1982,-1.7,1977,1975-1982
73,3,14,,,13.0,1979,1975-1982,-2.2,1976,1975-1982
74,3,15,,,16.0,1981,1975-1982,-1.7,1977,1975-1982
75,3,16,,,11.1,1977,1975-1982,-5.0,1981,1975-1982
76,3,17,,,13.0,1981,1975-1982,-0.6,1975,1975-1982
77,3,18,,,14.5,1981,1975-1982,-2.2,1975,1975-1982
78,3,19,,,14.0,1981,1975-1982,-1.5,1979,1975-1982
79,3,20,,,14.0,1981,1975-1982,-1.7,1975,1975-1982
80,3,21,,,12.0,1980,1975-1982,0.0,1975,1975-1982
81,3,22,,,16.0,1978,1975-1982,-4.4,1975,1975-1982
82,3,23,,,16.5,1978,1975-1982,-0.5,1979,1975-1982
83,3,24,,,12.0,1980,1975-1982,-3.9,1975,1975-1982
84,3,25,,,12.0,1978,1975-1982,-2.2,1975,1975-1982
85,3,26,,,12.5,1981,1975-1982,-2.2,1975,1975-1982
86,3,27,,,14.0,1981,1975-1982,-2.2,1975,1975-1982
87,3,28,,,14.0,1981,1975-1982,0.0,1975,1975-1982
88,3,29,,,13.0,1981,1975-1982,1.1,1977,1975-1982
89,3,30,,,9.0,1981,1975-1982,-1.1,1975,1975-1982
90,3,31,,,11.0,1978,1975-1982,-2.2,1975,1975-1982
91,4,1,,,14.5,1980,1975-1982,-2.2,1975,1975-1982
92,4,2,,,14.5,1980,1975-1982,-1.7,1975,1975-1982
93,4,3,,,17.0,1980,1975-1982,-2.8,1975,1975-1982
94,4,4,,,14.4,1977,1975-1982,-2.8,1975,1975-1982
95,4,5,,,19.4,1977,1975-1982,-3.3,1975,1975-1982
96,4,6,,,18.9,1977,1975-1982,-2.2,1975,1975-1982
97,4,7,,,18.9,1977,1975-1982,1.0,1978,1975-1982
98,4,8,,,11.7,1976,1975-1982,2.8,1975,1975-1982
99,4,9,,,11.7,1975,1975-1982,2.2,1975,1975-1982
100,4,10,,,13.0,1980,1975-1982,0.0,1975,1975-1982
101,4,11,,,13.0,1979,1975-1982,1.5,1978,1975-1982
102,4,12,,,18.0,1980,1975-1982,-1.1,1977,1975-1982
103,4,13,,,18.0,1981,1975-1982,0.0,1975,1975-1982
104,4,14,,,18.3,1977,1975-1982,-2.2,1975,1975-1982
105,4,15,,,18.9,1977,1975-1982,-1.7,1975,1975-1982
106,4,16,,,16.0,1981,1975-1982,1.7,1976,1975-1982
107,4,17,,,18.0,1981,1975-1982,0.6,1977,1975-1982
108,4,18,,,17.0,1981,1975-1982,2.0,1978,1975-1982
109,4,19,,,16.5,1981,1975-1982,0.0,1975,1975-1982
110,4,20,,,17.0,1981,1975-1982,-0.5,1979,1975-1982
111,4,21,,,15.0,1981,1975-1982,-0.5,1979,1975-1982
112,4,22,,,16.5,1979,1975-1982,0.0,1976,1975-1982
113,4,23,,,18.5,1979,1975-1982,0.5,1979,1975-1982
114,4,24,,,21.0,1979,1975-1982,1.5,1979,1975-1982
115,4,25,,,20.0,1981,1975-1982,1.7,1975,1975-1982
116,4,26,,,19.0,1982,1975-1982,-1.1,1975,1975-1982
117,4,27,,,20.0,1977,1975-1982,0.6,1975,1975-1982
118,4,28,,,21.1,1976,1975-1982,-1.1,1975,1975-1982
119,4,29,,,20.6,1976,1975-1982,-1.7,1975,1975-1982
120,4,30,,,20.0,1977,1975-1982,-1.7,1975,1975-1982
121,5,1,,,21.7,1977,1975-1981,0.0,1975,1975-1981
122,5,2,,,20.6,1977,1975-1981,2.8,1977,1975-1981
123,5,3,,,15.0,1981,1975-1981,1.7,1975,1975-1981
124,5,4,,,21.0,1980,1975-1981,1.7,1977,1975-1981
125,5,5,,,16.0,1980,1975-1981,3.3,1975,1975-1981
126,5,6,,,18.0,1978,1975-1981,3.0,1978,1975-1981
127,5,7,,,17.0,1980,1975-1981,1.7,1975,1975-1981
128,5,8,,,20.0,1975,1975-1981,3.3,1975,1975-1981
129,5,9,,,24.4,1975,1975-1981,-0.6,1977,1975-1981
130,5,10,,,15.6,1975,1975-1981,-0.6,1977,1975-1981
131,5,11,,,18.3,1975,1975-1981,3.0,1981,1975-1981
132,5,12,,,18.0,1981,1975-1981,1.7,1977,1975-1981
133,5,13,,,17.8,1975,1975-1981,0.6,1975,1975-1981
134,5,14,,,15.0,1975,1975-1981,3.5,1979,1975-1981
135,5,15,,,17.2,1977,1975-1981,3.3,1976,1975-1981
136,5,16,,,16.0,1981,1975-1981,3.3,1976,1975-1981
137,5,17,,,16.0,1981,1975-1981,3.3,1976,1975-1981
138,5,18,,,17.0,1981,1975-1981,1.7,1975,1975-1981
139,5,19,,,17.0,1981,1975-1981,1.7,1975,1975-1981
140,5,20,,,15.0,1977,1975-1981,0.6,1975,1975-1981
141,5,21,,,18.3,1977,1975-1981,5.0,1975,1975-1981
142,5,22,,,17.5,1979,1975-1981,3.3,1975,1975-1981
143,5,23,,,16.0,1979,1975-1981,1.5,1978,1975-1981
144,5,24,,,18.0,1981,1975-1981,0.6,1975,1975-1981
145,5,25,,,15.6,1977,1975-1981,1.1,1975,1975-1981
146,5,26,,,15.6,1977,1975-1981,2.0,1978,1975-1981
147,5,27,,,18.3,1975,1975-1981,1.7,1975,1975-1981
148,5,28,,,22.0,1981,1975-1981,3.3,1977,1975-1981
149,5,29,,,20.6,1977,1975-1981,3.9,1975,1975-1981
150,5,30,,,17.8,1975,1975-1981,3.0,1978,1975-1981
151,5,31,,,25.0,1975,1975-1981,3.3,1976,1975-1981
152,6,1,,,25.0,1975,1975-1982,4.4,1975,1975-1982
