,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,4.0,1985,1971-1986,-32.2,1971,1971-1986
1,1,2,,,3.0,1985,1971-1986,-31.0,1979,1971-1986
2,1,3,,,0.0,1984,1971-1986,-32.2,1975,1971-1986
3,1,4,,,2.0,1985,1971-1986,-32.8,1975,1971-1986
4,1,5,,,2.0,1985,1971-1986,-34.0,1980,1971-1986
5,1,6,,,1.1,1977,1971-1986,-33.9,1975,1971-1986
6,1,7,,,-0.5,1981,1971-1986,-33.9,1975,1971-1986
7,1,8,,,-0.5,1978,1971-1986,-32.8,1975,1971-1986
8,1,9,,,0.0,1978,1971-1986,-31.7,1975,1971-1986
9,1,10,,,0.0,1978,1971-1986,-40.0,1975,1971-1986
10,1,11,,,1.0,1981,1971-1986,-40.0,1975,1971-1986
11,1,12,,,1.0,1985,1971-1986,-38.9,1972,1971-1986
12,1,13,,,2.0,1981,1971-1986,-36.0,1980,1971-1986
13,1,14,,,3.0,1981,1971-1986,-38.0,1980,1971-1986
14,1,15,,,4.0,1981,1971-1986,-38.0,1980,1971-1986
15,1,16,,,2.0,1981,1971-1986,-37.2,1974,1971-1986
16,1,17,,,2.5,1981,1971-1986,-35.6,1971,1971-1986
17,1,18,,,5.0,1981,1971-1986,-36.7,1971,1971-1986
18,1,19,,,3.0,1981,1971-1986,-31.7,1971,1971-1986
19,1,20,,,0.0,1976,1971-1986,-23.5,1983,1971-1986
20,1,21,,,2.0,1981,1971-1986,-30.6,1971,1971-1986
21,1,22,,,2.0,1980,1971-1986,-30.0,1983,1971-1986
22,1,23,,,5.0,1978,1971-1986,-30.0,1971,1971-1986
23,1,24,,,2.0,1978,1971-1986,-36.1,1971,1971-1986
24,1,25,,,0.0,1977,1971-1986,-37.2,1971,1971-1986
25,1,26,,,1.0,1984,1971-1986,-36.7,1971,1971-1986
26,1,27,,,0.0,1976,1971-1986,-32.2,1971,1971-1986
27,1,28,,,1.0,1984,1971-1986,-32.2,1971,1971-1986
28,1,29,,,2.0,1984,1971-1986,-31.7,1971,1971-1986
29,1,30,,,0.6,1976,1971-1986,-28.9,1974,1971-1986
30,1,31,,,1.5,1983,1971-1986,-32.2,1971,1971-1986
31,2,1,,,2.8,1977,1971-1986,-34.4,1974,1971-1986
32,2,2,,,2.0,1986,1971-1986,-27.8,1973,1971-1986
33,2,3,,,3.0,1984,1971-1986,-28.9,1974,1971-1986
34,2,4,,,4.0,1982,1971-1986,-32.2,1971,1971-1986
35,2,5,,,5.0,1982,1971-1986,-34.4,1972,1971-1986
36,2,6,,,1.0,1980,1971-1986,-31.7,1972,1971-1986
37,2,7,,,5.0,1982,1971-1986,-31.0,1979,1971-1986
38,2,8,,,1.1,1971,1971-1985,-31.0,1979,1971-1986
39,2,9,,,0.6,1971,1971-1986,-30.0,1979,1971-1985
40,2,10,,,-0.5,1980,1971-1986,-29.0,1979,1971-1986
41,2,11,,,-1.0,1986,1971-1986,-29.4,1975,1971-1986
42,2,12,,,2.0,1986,1971-1986,-31.7,1975,1971-1986
43,2,13,,,2.5,1986,1971-1986,-32.2,1975,1971-1986
44,2,14,,,0.0,1977,1971-1986,-30.0,1979,1971-1986
45,2,15,,,0.0,1971,1971-1986,-30.0,1979,1971-1986
46,2,16,,,0.0,1984,1971-1986,-31.7,1972,1971-1986
47,2,17,,,0.0,1973,1971-1986,-27.0,1986,1971-1986
48,2,18,,,3.9,1977,1971-1986,-28.0,1986,1971-1986
49,2,19,,,5.0,1977,1971-1986,-28.9,1976,1971-1986
50,2,20,,,2.5,1978,1971-1986,-29.0,1986,1971-1986
51,2,21,,,0.0,1971,1971-1986,-26.1,1976,1971-1986
52,2,22,,,0.0,1985,1971-1986,-28.0,1982,1971-1986
53,2,23,,,0.0,1980,1971-1986,-32.0,1986,1971-1986
54,2,24,,,1.0,1980,1971-1986,-27.0,1986,1971-1986
55,2,25,,,0.5,1986,1971-1986,-25.0,1982,1971-1986
56,2,26,,,0.0,1975,1971-1986,-28.5,1979,1971-1986
57,2,27,,,2.0,1986,1971-1986,-30.6,1971,1971-1986
58,2,28,,,2.0,1986,1971-1986,-26.1,1971,1971-1986
59,2,29,,,-3.0,1980,1972-1980,-21.1,1972,1972-1984
60,3,1,,,-1.0,1981,1971-1985,-31.7,1972,1971-1985
61,3,2,,,0.0,1981,1971-1986,-29.4,1974,1971-1985
62,3,3,,,0.0,1977,1971-1986,-21.7,1972,1971-1986
63,3,4,,,1.0,1984,1971-1986,-26.1,1971,1971-1986
64,3,5,,,1.0,1979,1971-1985,-29.0,1978,1971-1985
65,3,6,,,3.0,1984,1971-1986,-31.7,1974,1971-1985
66,3,7,,,4.0,1984,1971-1986,-31.7,1974,1971-1986
67,3,8,,,4.0,1984,1971-1986,-32.2,1974,1971-1986
68,3,9,,,3.5,1984,1971-1986,-28.3,1972,1971-1986
69,3,10,,,4.0,1984,1971-1986,-26.7,1976,1971-1986
70,3,11,,,3.5,1984,1971-1986,-23.9,1975,1971-1986
71,3,12,,,4.0,1984,1971-1986,-22.2,1976,1971-1986
72,3,13,,,5.0,1984,1971-1986,-25.0,1977,1971-1986
73,3,14,,,3.0,1979,1971-1986,-24.4,1974,1971-1986
74,3,15,,,1.0,1981,1971-1986,-25.0,1980,1971-1986
75,3,16,,,0.0,1976,1971-1986,-26.7,1975,1971-1986
76,3,17,,,1.1,1976,1971-1986,-27.2,1975,1971-1986
77,3,18,,,1.5,1979,1971-1986,-20.6,1975,1971-1986
78,3,19,,,3.0,1984,1971-1986,-22.2,1977,1971-1986
79,3,20,,,1.0,1979,1971-1986,-26.7,1973,1971-1986
80,3,21,,,1.0,1979,1971-1986,-25.0,1973,1971-1986
