,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,-1.1,1926,1924-1944,-41.7,1937,1924-1944
1,1,2,,,1.7,1927,1924-1944,-37.8,1943,1924-1944
2,1,3,,,-2.2,1927,1924-1944,-39.4,1942,1924-1944
3,1,4,,,-1.1,1937,1924-1944,-36.7,1940,1924-1944
4,1,5,,,0.6,1928,1924-1944,-35.6,1937,1924-1944
5,1,6,,,0.6,1928,1924-1944,-41.1,1930,1924-1944
6,1,7,,,0.6,1928,1924-1944,-43.9,1937,1924-1944
7,1,8,,,5.6,1928,1924-1944,-48.9,1930,1924-1944
8,1,9,,,4.4,1928,1924-1944,-47.2,1930,1924-1944
9,1,10,,,6.1,1928,1924-1944,-31.7,1930,1924-1944
10,1,11,,,3.9,1942,1924-1944,-33.9,1936,1924-1944
11,1,12,,,4.4,1942,1924-1944,-33.3,1925,1924-1944
12,1,13,,,2.2,1926,1924-1944,-38.9,1929,1924-1944
13,1,14,,,3.9,1942,1924-1944,-41.7,1925,1924-1944
14,1,15,,,3.9,1942,1924-1944,-38.3,1937,1924-1944
15,1,16,,,2.8,1942,1924-1944,-45.0,1930,1924-1944
16,1,17,,,1.1,1928,1924-1944,-40.0,1936,1924-1944
17,1,18,,,0.6,1942,1924-1944,-43.9,1935,1924-1944
18,1,19,,,3.9,1942,1924-1944,-45.0,1935,1924-1944
19,1,20,,,4.4,1942,1924-1944,-49.4,1943,1924-1944
20,1,21,,,8.3,1942,1924-1944,-48.3,1935,1924-1944
21,1,22,,,3.3,1942,1924-1944,-44.4,1935,1924-1944
22,1,23,,,0.6,1944,1924-1944,-48.3,1943,1924-1944
23,1,24,,,0.6,1944,1924-1944,-49.4,1943,1924-1944
24,1,25,,,1.7,1932,1924-1944,-46.1,1929,1924-1944
25,1,26,,,2.8,1934,1924-1944,-43.9,1929,1924-1944
26,1,27,,,-1.1,1924,1924-1944,-35.6,1929,1924-1944
27,1,28,,,1.7,1924,1924-1944,-41.1,1937,1924-1944
28,1,29,,,1.7,1940,1924-1944,-38.3,1938,1924-1944
29,1,30,,,2.8,1934,1924-1944,-41.1,1932,1924-1944
30,1,31,,,2.8,1941,1924-1944,-42.8,1938,1924-1944
31,2,1,,,3.9,1935,1924-1944,-37.8,1932,1924-1944
32,2,2,,,2.8,1924,1924-1944,-37.2,1932,1924-1944
33,2,3,,,3.9,1935,1924-1944,-43.9,1936,1924-1944
34,2,4,,,-1.1,1926,1924-1944,-40.6,1937,1924-1944
35,2,5,,,-1.1,1925,1924-1944,-35.6,1944,1924-1944
36,2,6,,,2.2,1926,1924-1944,-42.2,1936,1924-1944
37,2,7,,,3.3,1926,1924-1944,-40.6,1933,1924-1944
38,2,8,,,2.8,1924,1924-1944,-41.7,1933,1924-1944
39,2,9,,,2.8,1940,1924-1944,-36.7,1937,1924-1944
40,2,10,,,7.8,1928,1924-1944,-40.0,1939,1924-1944
41,2,11,,,4.4,1926,1924-1944,-37.2,1936,1924-1944
42,2,12,,,3.3,1934,1924-1944,-41.7,1936,1924-1944
