,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,7.2,1964,1924-1973,-35.6,1937,1924-1973
1,1,2,,,4.4,1948,1924-1973,-35.0,1943,1924-1973
2,1,3,,,4.4,1939,1924-1973,-38.3,1950,1924-1973
3,1,4,,,3.3,1947,1924-1973,-40.0,1968,1924-1973
4,1,5,,,3.9,1962,1924-1973,-38.3,1940,1924-1973
5,1,6,,,6.7,1948,1924-1973,-36.1,1937,1924-1973
6,1,7,,,9.4,1963,1924-1973,-37.2,1937,1924-1973
7,1,8,,,5.6,1943,1924-1973,-38.9,1937,1924-1973
8,1,9,,,5.6,1959,1924-1973,-36.7,1941,1924-1973
9,1,10,,,2.8,1941,1924-1973,-38.3,1950,1924-1973
10,1,11,,,4.4,1942,1924-1973,-31.7,1971,1924-1973
11,1,12,,,6.1,1942,1924-1973,-35.6,1971,1924-1973
12,1,13,,,6.7,1942,1924-1973,-40.0,1972,1924-1973
13,1,14,,,6.1,1973,1924-1973,-42.2,1972,1924-1973
14,1,15,,,8.3,1942,1924-1973,-41.1,1950,1924-1973
15,1,16,,,7.2,1942,1924-1973,-41.7,1924,1924-1973
16,1,17,,,5.0,1944,1924-1973,-40.6,1924,1924-1973
17,1,18,,,4.4,1942,1924-1973,-40.6,1970,1924-1973
18,1,19,,,8.3,1971,1924-1973,-39.4,1970,1924-1973
19,1,20,,,7.2,1968,1924-1973,-41.1,1943,1924-1973
20,1,21,,,5.0,1942,1924-1973,-43.9,1943,1924-1973
21,1,22,,,11.1,1942,1924-1973,-43.3,1943,1924-1973
22,1,23,,,8.3,1968,1924-1973,-41.1,1943,1924-1973
23,1,24,,,6.1,1942,1924-1973,-40.0,1950,1924-1973
24,1,25,,,8.3,1942,1924-1973,-45.0,1972,1924-1973
25,1,26,,,2.2,1942,1924-1973,-44.4,1972,1924-1973
26,1,27,,,7.8,1942,1924-1973,-43.3,1950,1924-1973
27,1,28,,,5.0,1941,1924-1973,-40.0,1969,1924-1973
28,1,29,,,5.0,1940,1924-1973,-42.2,1950,1924-1973
29,1,30,,,5.6,1924,1924-1973,-41.7,1969,1924-1973
30,1,31,,,4.4,1924,1924-1973,-41.1,1969,1924-1973
31,2,1,,,7.8,1924,1924-1973,-41.7,1947,1924-1973
32,2,2,,,5.6,1968,1924-1973,-36.1,1947,1924-1973
33,2,3,,,5.6,1925,1924-1973,-31.7,1947,1924-1973
34,2,4,,,8.3,1963,1924-1973,-30.6,1972,1924-1973
35,2,5,,,7.2,1963,1924-1973,-35.0,1937,1924-1973
36,2,6,,,8.9,1963,1924-1973,-36.7,1972,1924-1973
37,2,7,,,12.2,1963,1924-1973,-36.7,1937,1924-1973
38,2,8,,,7.2,1961,1924-1973,-37.2,1939,1924-1973
39,2,9,,,5.0,1954,1924-1973,-37.8,1949,1924-1973
40,2,10,,,7.2,1961,1924-1973,-35.6,1944,1924-1973
41,2,11,,,7.2,1924,1924-1973,-31.7,1951,1924-1973
42,2,12,,,10.6,1924,1924-1973,-34.4,1949,1924-1973
43,2,13,,,2.8,1971,1924-1973,-32.2,1973,1924-1973
44,2,14,,,3.3,1957,1924-1973,-38.3,1938,1924-1973
45,2,15,,,4.4,1971,1924-1973,-36.1,1938,1924-1973
46,2,16,,,5.0,1954,1924-1973,-40.0,1956,1924-1973
47,2,17,,,6.7,1954,1924-1973,-40.0,1927,1924-1973
48,2,18,,,5.0,1954,1924-1973,-37.2,1941,1924-1973
49,2,19,,,5.0,1965,1924-1973,-36.7,1941,1924-1973
50,2,20,,,3.3,1927,1924-1973,-35.6,1941,1924-1973
51,2,21,,,4.4,1927,1924-1973,-30.0,1965,1924-1973
52,2,22,,,5.0,1973,1924-1973,-35.0,1940,1924-1973
53,2,23,,,6.1,1954,1924-1973,-34.4,1941,1924-1973
54,2,24,,,6.7,1958,1924-1973,-34.4,1940,1924-1973
55,2,25,,,5.0,1954,1924-1973,-32.2,1945,1924-1973
56,2,26,,,6.7,1924,1924-1973,-34.4,1962,1924-1973
57,2,27,,,7.2,1924,1924-1973,-38.3,1962,1924-1973
58,2,28,,,8.3,1924,1924-1973,-37.2,1962,1924-1973
59,2,29,,,11.1,1968,1924-1972,-28.3,1948,1924-1972
60,3,1,,,5.6,1968,1924-1973,-33.9,1962,1924-1973
61,3,2,,,5.6,1924,1924-1973,-40.0,1972,1924-1973
62,3,3,,,11.7,1968,1924-1973,-34.4,1972,1924-1973
63,3,4,,,11.7,1968,1924-1973,-35.0,1962,1924-1973
64,3,5,,,12.2,1968,1924-1973,-32.8,1943,1924-1973
65,3,6,,,12.2,1968,1924-1973,-32.2,1951,1924-1973
66,3,7,,,10.0,1968,1924-1973,-32.8,1947,1924-1973
67,3,8,,,5.6,1942,1924-1973,-36.1,1951,1924-1973
68,3,9,,,8.3,1954,1924-1973,-33.9,1948,1924-1973
69,3,10,,,7.2,1973,1924-1973,-35.0,1951,1924-1973
70,3,11,,,7.2,1964,1924-1973,-36.7,1951,1924-1973
71,3,12,,,8.3,1973,1924-1973,-31.7,1951,1924-1973
72,3,13,,,7.2,1927,1924-1973,-30.6,1967,1924-1973
73,3,14,,,7.2,1964,1924-1973,-32.2,1947,1924-1973
74,3,15,,,8.3,1966,1924-1973,-37.2,1941,1924-1973
75,3,16,,,10.6,1968,1924-1973,-37.2,1941,1924-1973
76,3,17,,,10.0,1959,1924-1973,-28.9,1965,1924-1973
77,3,18,,,10.0,1945,1924-1973,-28.3,1965,1924-1973
78,3,19,,,12.8,1973,1924-1973,-31.7,1965,1924-1973
79,3,20,,,15.6,1961,1924-1973,-30.6,1951,1924-1973
80,3,21,,,13.9,1928,1924-1973,-21.7,1965,1924-1973
81,3,22,,,17.2,1963,1924-1973,-32.8,1965,1924-1973
82,3,23,,,20.0,1968,1924-1973,-30.0,1965,1924-1973
83,3,24,,,15.0,1968,1924-1973,-28.9,1955,1924-1973
84,3,25,,,17.2,1973,1924-1973,-26.7,1964,1924-1973
85,3,26,,,18.9,1946,1924-1973,-29.4,1965,1924-1973
86,3,27,,,15.6,1968,1924-1973,-26.1,1965,1924-1973
87,3,28,,,16.7,1938,1924-1973,-22.8,1965,1924-1973
88,3,29,,,18.9,1966,1924-1973,-27.2,1969,1924-1973
89,3,30,,,20.6,1966,1924-1973,-18.3,1954,1924-1973
90,3,31,,,20.0,1964,1924-1973,-22.2,1970,1924-1973
91,4,1,,,17.2,1964,1924-1973,-20.6,1938,1924-1973
92,4,2,,,19.4,1943,1924-1973,-28.3,1954,1924-1973
93,4,3,,,14.4,1944,1924-1973,-20.6,1954,1924-1973
94,4,4,,,18.9,1962,1924-1973,-16.7,1972,1924-1973
95,4,5,,,20.0,1966,1924-1973,-19.4,1948,1924-1973
96,4,6,,,19.4,1952,1924-1973,-20.6,1948,1924-1973
97,4,7,,,17.2,1925,1924-1973,-17.2,1954,1924-1973
