,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,11.7,1945,1918-1976,-34.4,1972,1918-1976
1,1,2,,,10.0,1942,1918-1976,-30.6,1918,1918-1976
2,1,3,,,10.6,1950,1918-1976,-34.4,1918,1918-1976
3,1,4,,,11.7,1950,1918-1976,-31.7,1918,1918-1976
4,1,5,,,8.9,1950,1918-1976,-30.0,1920,1918-1976
5,1,6,,,10.0,1949,1918-1976,-28.3,1957,1918-1976
6,1,7,,,11.7,1929,1918-1976,-28.9,1972,1918-1976
7,1,8,,,9.4,1932,1918-1976,-29.4,1922,1918-1976
8,1,9,,,10.0,1930,1918-1976,-32.8,1942,1918-1976
9,1,10,,,7.2,1972,1918-1976,-30.6,1971,1918-1976
10,1,11,,,7.8,1933,1918-1976,-32.8,1976,1918-1976
11,1,12,,,8.9,1924,1918-1976,-32.2,1976,1918-1976
12,1,13,,,9.4,1972,1918-1976,-34.4,1976,1918-1976
13,1,14,,,11.1,1932,1918-1976,-33.3,1957,1918-1976
14,1,15,,,12.2,1932,1918-1976,-33.3,1957,1918-1976
15,1,16,,,10.0,1932,1918-1976,-33.9,1925,1918-1976
16,1,17,,,4.4,1952,1918-1976,-33.9,1925,1918-1976
17,1,18,,,7.2,1952,1918-1976,-36.1,1923,1918-1976
18,1,19,,,7.8,1929,1918-1976,-37.8,1971,1918-1976
19,1,20,,,10.0,1929,1918-1976,-38.3,1971,1918-1976
20,1,21,,,7.2,1951,1918-1976,-31.1,1923,1918-1976
21,1,22,,,10.0,1957,1918-1976,-34.4,1961,1918-1976
22,1,23,,,10.6,1969,1918-1976,-33.9,1961,1918-1976
23,1,24,,,10.0,1953,1918-1976,-34.4,1961,1918-1976
24,1,25,,,8.9,1938,1918-1976,-32.8,1922,1918-1976
25,1,26,,,10.6,1976,1918-1976,-31.7,1918,1918-1976
26,1,27,,,10.0,1976,1918-1976,-31.1,1924,1918-1976
27,1,28,,,10.6,1976,1918-1976,-33.9,1935,1918-1976
28,1,29,,,8.9,1950,1918-1976,-36.7,1925,1918-1976
29,1,30,,,7.8,1938,1918-1976,-31.1,1921,1918-1976
30,1,31,,,9.4,1947,1918-1976,-34.4,1934,1918-1976
31,2,1,,,12.2,1976,1918-1976,-34.4,1934,1918-1976
32,2,2,,,12.2,1976,1918-1976,-40.6,1962,1918-1976
33,2,3,,,12.2,1970,1918-1976,-33.9,1962,1918-1976
34,2,4,,,10.0,1970,1918-1976,-35.0,1971,1918-1976
35,2,5,,,6.1,1952,1918-1976,-34.4,1948,1918-1976
36,2,6,,,5.6,1946,1918-1976,-32.8,1934,1918-1976
37,2,7,,,9.4,1951,1918-1976,-33.3,1930,1918-1976
38,2,8,,,8.3,1933,1918-1976,-31.7,1923,1918-1976
39,2,9,,,12.2,1925,1918-1976,-32.8,1934,1918-1976
40,2,10,,,5.6,1925,1918-1976,-34.4,1948,1918-1976
41,2,11,,,10.0,1966,1918-1976,-32.8,1948,1918-1976
42,2,12,,,7.2,1925,1918-1976,-31.7,1918,1918-1976
43,2,13,,,10.0,1925,1918-1976,-30.0,1967,1918-1976
44,2,14,,,7.2,1932,1918-1976,-31.7,1967,1918-1976
45,2,15,,,11.7,1939,1918-1976,-31.1,1924,1918-1976
46,2,16,,,6.7,1918,1918-1976,-35.6,1943,1918-1976
47,2,17,,,8.3,1951,1918-1976,-35.0,1920,1918-1976
48,2,18,,,6.1,1961,1918-1976,-37.8,1922,1918-1976
49,2,19,,,7.8,1948,1918-1976,-34.4,1967,1918-1976
50,2,20,,,11.7,1954,1918-1976,-35.0,1967,1918-1976
51,2,21,,,9.4,1953,1918-1976,-32.2,1968,1918-1976
52,2,22,,,8.3,1974,1918-1976,-31.1,1968,1918-1976
53,2,23,,,8.9,1943,1918-1976,-30.0,1972,1918-1976
54,2,24,,,9.4,1943,1918-1976,-28.9,1920,1918-1976
55,2,25,,,8.9,1930,1918-1976,-30.0,1972,1918-1976
56,2,26,,,8.9,1976,1918-1976,-31.1,1921,1918-1976
57,2,27,,,8.9,1954,1918-1976,-33.3,1963,1918-1976
58,2,28,,,10.0,1954,1918-1976,-31.7,1963,1918-1976
59,2,29,,,5.0,1968,1920-1976,-28.9,1920,1920-1976
60,3,1,,,10.0,1974,1918-1976,-27.2,1934,1918-1976
61,3,2,,,8.3,1964,1918-1976,-30.6,1920,1918-1976
62,3,3,,,12.2,1964,1918-1976,-30.0,1920,1918-1976
63,3,4,,,10.6,1964,1918-1976,-26.7,1938,1918-1976
64,3,5,,,10.6,1964,1918-1976,-26.1,1967,1918-1976
65,3,6,,,11.1,1974,1918-1976,-27.2,1948,1918-1976
66,3,7,,,17.2,1974,1918-1976,-26.1,1968,1918-1976
67,3,8,,,10.6,1946,1918-1976,-32.8,1918,1918-1976
68,3,9,,,8.9,1950,1918-1976,-29.4,1918,1918-1976
69,3,10,,,8.9,1936,1918-1976,-30.6,1923,1918-1976
70,3,11,,,9.4,1936,1918-1976,-27.8,1972,1918-1976
71,3,12,,,11.1,1927,1918-1976,-26.7,1923,1918-1976
72,3,13,,,12.8,1946,1918-1976,-28.9,1919,1918-1976
73,3,14,,,11.7,1946,1918-1976,-28.3,1972,1918-1976
74,3,15,,,13.3,1945,1918-1976,-28.9,1926,1918-1976
75,3,16,,,11.7,1971,1918-1976,-26.1,1925,1918-1976
76,3,17,,,15.0,1936,1918-1976,-26.1,1967,1918-1976
77,3,18,,,15.6,1936,1918-1976,-25.6,1967,1918-1976
78,3,19,,,14.4,1936,1918-1976,-30.0,1956,1918-1976
79,3,20,,,13.9,1938,1918-1976,-21.1,1955,1918-1976
80,3,21,,,17.2,1946,1918-1976,-22.8,1956,1918-1976
81,3,22,,,18.3,1946,1918-1976,-18.9,1961,1918-1976
82,3,23,,,15.0,1953,1918-1976,-20.0,1934,1918-1976
83,3,24,,,13.9,1938,1918-1976,-21.1,1932,1918-1976
84,3,25,,,18.3,1920,1918-1976,-17.2,1934,1918-1976
85,3,26,,,17.8,1946,1918-1976,-20.6,1960,1918-1976
86,3,27,,,13.3,1921,1918-1976,-27.2,1923,1918-1976
87,3,28,,,22.2,1945,1918-1976,-21.1,1923,1918-1976
88,3,29,,,17.2,1946,1918-1976,-25.0,1923,1918-1976
89,3,30,,,20.0,1962,1918-1976,-23.9,1923,1918-1976
90,3,31,,,13.9,1936,1918-1976,-20.6,1954,1918-1976
91,4,1,,,16.1,1938,1918-1976,-17.8,1923,1918-1976
92,4,2,,,22.2,1945,1918-1976,-19.4,1923,1918-1976
93,4,3,,,15.6,1918,1918-1976,-12.8,1969,1918-1976
94,4,4,,,15.6,1953,1918-1976,-14.4,1969,1918-1976
95,4,5,,,15.6,1953,1918-1976,-12.8,1964,1918-1976
96,4,6,,,15.6,1928,1918-1976,-16.7,1964,1918-1976
97,4,7,,,22.2,1928,1918-1976,-11.7,1943,1918-1976
98,4,8,,,23.3,1928,1918-1976,-14.4,1972,1918-1976
99,4,9,,,19.4,1945,1918-1976,-11.7,1971,1918-1976
100,4,10,,,22.2,1945,1918-1976,-11.7,1920,1918-1976
101,4,11,,,26.7,1945,1918-1976,-13.3,1938,1918-1976
102,4,12,,,26.7,1945,1918-1976,-12.8,1926,1918-1976
103,4,13,,,25.0,1968,1918-1976,-11.1,1926,1918-1976
104,4,14,,,21.1,1968,1918-1976,-11.1,1923,1918-1976
105,4,15,,,21.1,1976,1919-1976,-11.1,1967,1919-1976
106,4,16,,,21.7,1969,1919-1976,-8.3,1926,1919-1976
107,4,17,,,22.8,1973,1919-1976,-10.6,1967,1919-1976
108,4,18,,,22.2,1976,1919-1976,-10.6,1921,1919-1976
109,4,19,,,21.1,1927,1919-1976,-7.2,1926,1919-1976
110,4,20,,,26.1,1927,1919-1976,-11.1,1964,1919-1976
111,4,21,,,28.9,1927,1918-1976,-11.7,1959,1918-1976
112,4,22,,,23.9,1931,1918-1976,-7.8,1930,1918-1976
