,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,-2.7,2015.0,2015-2015,-10.3,2015,2015-2015
1,1,2,,,-1.8,2015.0,2015-2015,-10.6,2015,2015-2015
2,1,3,,,-6.8,2015.0,2015-2015,-14.6,2015,2015-2015
3,1,7,,,-8.5,2015.0,2015-2015,-17.9,2015,2015-2015
4,1,8,,,-8.6,2015.0,2015-2015,-16.1,2015,2015-2015
5,1,10,,,-3.5,2015.0,2015-2015,-10.0,2015,2015-2015
6,1,11,,,-7.7,2015.0,2015-2015,-11.1,2015,2015-2015
7,1,12,,,-2.4,2015.0,2015-2015,-10.1,2015,2015-2015
8,1,14,,,-3.8,2015.0,2015-2015,-13.4,2015,2015-2015
9,1,15,,,-3.7,2015.0,2015-2015,-12.9,2015,2015-2015
10,1,16,,,1.1,2015.0,2015-2015,-11.4,2015,2015-2015
11,1,17,,,-2.1,2015.0,2015-2015,-11.7,2015,2015-2015
12,1,18,,,2.2,2015.0,2015-2015,-11.7,2015,2015-2015
13,1,19,,,3.7,2015.0,2015-2015,0.5,2015,2015-2015
14,1,20,,,3.2,2015.0,2015-2015,-4.7,2015,2015-2015
15,1,21,,,-1.9,2015.0,2015-2015,-5.9,2015,2015-2015
16,1,22,,,-3.9,2015.0,2015-2015,-7.4,2015,2015-2015
17,1,23,,,-3.5,2015.0,2015-2015,-7.7,2015,2015-2015
18,1,24,,,1.8,2015.0,2015-2015,-7.2,2015,2015-2015
19,1,26,,,-4.2,2015.0,2015-2015,-11.0,2015,2015-2015
20,1,27,,,-5.5,2015.0,2015-2015,-12.5,2015,2015-2015
21,1,30,,,-1.8,2015.0,2015-2015,-8.0,2015,2015-2015
22,1,31,,,5.6,2015.0,2015-2015,-4.9,2015,2015-2015
23,2,1,,,5.1,2015.0,2015-2015,-9.9,2015,2015-2015
24,2,2,,,-9.6,2015.0,2015-2015,-12.6,2015,2015-2015
25,2,4,,,-8.5,2015.0,2015-2015,-12.8,2015,2015-2015
26,2,8,,,-11.5,2015.0,2015-2015,-15.6,2015,2015-2015
27,2,9,,,-13.5,2015.0,2015-2015,-25.2,2015,2015-2015
28,2,10,,,-7.1,2015.0,2015-2015,-21.9,2015,2015-2015
29,2,11,,,-6.9,2015.0,2015-2015,-17.4,2015,2015-2015
30,2,12,,,-10.5,2015.0,2015-2015,-14.5,2015,2015-2015
31,2,13,,,-5.9,2015.0,2015-2015,-10.5,2015,2015-2015
32,2,14,,,-5.9,2015.0,2015-2015,-11.6,2015,2015-2015
33,2,16,,,1.7,2015.0,2015-2015,-8.6,2015,2015-2015
34,2,17,,,-6.5,2015.0,2015-2015,-17.1,2015,2015-2015
35,2,18,,,-5.1,2015.0,2015-2015,-19.1,2015,2015-2015
36,2,19,,,-1.1,2015.0,2015-2015,-8.4,2015,2015-2015
37,2,20,,,2.9,2015.0,2015-2015,-7.3,2015,2015-2015
38,2,21,,,-4.8,2015.0,2015-2015,-8.3,2015,2015-2015
39,2,24,,,-8.0,2015.0,2015-2015,-16.5,2015,2015-2015
40,2,27,,,-6.5,2015.0,2015-2015,-12.2,2015,2015-2015
41,2,28,,,-7.1,2015.0,2015-2015,-12.5,2015,2015-2015
42,3,1,,,-4.0,2015.0,2015-2015,-13.1,2015,2015-2015
43,3,4,,,-2.6,2015.0,2015-2015,-13.1,2015,2015-2015
44,3,7,,,-5.0,2015.0,2015-2015,-17.7,2015,2015-2015
45,3,8,,,-4.2,2015.0,2015-2015,-18.3,2015,2015-2015
46,3,9,,,-7.3,2015.0,2015-2015,-14.2,2015,2015-2015
47,3,10,,,-5.5,2015.0,2015-2015,-17.5,2015,2015-2015
48,3,12,,,-7.0,2015.0,2015-2015,-14.9,2015,2015-2015
49,3,13,,,-10.3,2015.0,2015-2015,-15.7,2015,2015-2015
50,3,14,,,-8.2,2015.0,2015-2015,-13.9,2015,2015-2015
51,3,15,,,-3.8,2015.0,2015-2015,-13.2,2015,2015-2015
52,3,16,,,-2.2,2015.0,2015-2015,-8.2,2015,2015-2015
53,3,17,,,2.1,2015.0,2015-2015,-4.4,2015,2015-2015
54,3,18,,,1.3,2015.0,2015-2015,-2.1,2015,2015-2015
55,3,19,,,0.2,2015.0,2015-2015,-4.8,2015,2015-2015
56,3,20,,,-3.1,2015.0,2015-2015,-8.1,2015,2015-2015
57,3,21,,,0.6,2015.0,2015-2015,-6.2,2015,2015-2015
58,3,23,,,,,-,-9.4,2015,2015-2015
59,3,24,,,-3.2,2015.0,2015-2015,-11.8,2015,2015-2015
60,3,25,,,-1.8,2015.0,2015-2015,-15.1,2015,2015-2015
61,3,26,,,1.6,2015.0,2015-2015,-8.0,2015,2015-2015
62,3,28,,,-1.0,2015.0,2015-2015,-2.5,2015,2015-2015
63,3,29,,,-1.0,2015.0,2015-2015,-6.2,2015,2015-2015
64,3,30,,,1.4,2015.0,2015-2015,-10.0,2015,2015-2015
65,3,31,,,1.5,2015.0,2015-2015,-4.4,2015,2015-2015
66,4,1,,,-0.3,2015.0,2015-2015,-7.0,2015,2015-2015
67,4,2,,,-3.3,2015.0,2015-2015,-6.6,2015,2015-2015
68,4,3,,,0.4,2015.0,2015-2015,-8.9,2015,2015-2015
69,4,4,,,4.4,2015.0,2015-2015,-1.3,2015,2015-2015
70,4,7,,,-0.6,2015.0,2015-2015,-11.7,2015,2015-2015
71,4,10,,,4.6,2015.0,2015-2015,-14.0,2015,2015-2015
72,4,13,,,3.7,2015.0,2015-2015,-8.8,2015,2015-2015
73,4,16,,,-1.8,2015.0,2015-2015,-7.5,2015,2015-2015
74,4,17,,,2.7,2015.0,2015-2015,-5.9,2015,2015-2015
75,4,18,,,2.0,2015.0,2015-2015,-5.4,2015,2015-2015
76,4,19,,,0.0,2015.0,2015-2015,-6.9,2015,2015-2015
77,4,21,,,7.1,2015.0,2015-2015,-4.8,2015,2015-2015
78,4,22,,,6.3,2015.0,2015-2015,0.5,2015,2015-2015
79,4,23,,,9.1,2015.0,2015-2015,0.3,2015,2015-2015
80,4,26,,,9.9,2015.0,2015-2015,-0.4,2015,2015-2015
81,4,29,,,8.8,2015.0,2015-2015,3.6,2015,2015-2015
82,4,30,,,8.4,2015.0,2015-2015,2.5,2015,2015-2015
83,5,1,,,10.4,2015.0,2015-2015,1.8,2015,2015-2015
84,5,2,,,10.4,2015.0,2015-2015,2.6,2015,2015-2015
85,5,3,,,8.6,2015.0,2015-2015,-2.3,2015,2015-2015
86,5,4,,,9.1,2015.0,2015-2015,-2.0,2015,2015-2015
87,5,5,,,12.2,2015.0,2015-2015,3.9,2015,2015-2015
88,5,10,,,6.2,2015.0,2015-2015,2.8,2015,2015-2015
89,5,11,,,9.3,2015.0,2015-2015,-2.7,2015,2015-2015
90,5,12,,,6.8,2015.0,2015-2015,-2.9,2015,2015-2015
91,5,13,,,7.2,2015.0,2015-2015,0.4,2015,2015-2015
92,5,14,,,7.2,2015.0,2015-2015,-2.7,2015,2015-2015
93,5,15,,,10.1,2015.0,2015-2015,-0.9,2015,2015-2015
94,5,16,,,18.8,2015.0,2015-2015,1.3,2015,2015-2015
95,5,17,,,19.9,2015.0,2015-2015,3.7,2015,2015-2015
96,5,18,,,20.1,2015.0,2015-2015,1.9,2015,2015-2015
97,5,19,,,14.4,2015.0,2015-2015,2.7,2015,2015-2015
98,5,20,,,15.7,2015.0,2015-2015,7.0,2015,2015-2015
99,5,21,,,7.7,2015.0,2015-2015,1.2,2015,2015-2015
100,5,22,,,17.5,2015.0,2015-2015,1.4,2015,2015-2015
101,5,24,,,10.0,2015.0,2015-2015,2.2,2015,2015-2015
102,5,25,,,15.0,2015.0,2015-2015,2.5,2015,2015-2015
103,5,26,,,19.0,2015.0,2015-2015,8.1,2015,2015-2015
104,5,27,,,14.6,2015.0,2015-2015,8.2,2015,2015-2015
105,5,28,,,16.3,2015.0,2015-2015,8.7,2015,2015-2015
106,5,29,,,16.9,2015.0,2015-2015,6.1,2015,2015-2015
107,5,30,,,18.4,2015.0,2015-2015,6.9,2015,2015-2015
108,5,31,,,12.8,2015.0,2015-2015,2.2,2015,2015-2015
109,6,1,,,11.5,2015.0,2015-2015,0.3,2015,2015-2015
110,6,2,,,10.4,2015.0,2015-2015,-0.9,2015,2015-2015
111,6,3,,,16.2,2015.0,2015-2015,4.2,2015,2015-2015
112,6,4,,,17.0,2015.0,2015-2015,3.2,2015,2015-2015
113,6,5,,,12.5,2015.0,2015-2015,2.6,2015,2015-2015
