,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,-3.3,2006,1999-2007,-27.9,2005,1999-2007
1,1,2,,,-1.3,2007,1999-2007,-27.4,2004,1999-2007
2,1,3,,,-1.6,2003,1999-2007,-34.0,2004,1999-2007
3,1,4,,,-1.4,1999,1999-2007,-32.5,2004,1999-2007
4,1,5,,,-2.1,2003,1999-2007,-28.0,2004,1999-2007
5,1,6,,,-1.2,2002,1999-2007,-27.5,2004,1999-2007
6,1,7,,,0.0,2002,1999-2007,-24.1,2005,1999-2007
7,1,8,,,-0.1,2002,1999-2007,-24.7,2005,1999-2007
8,1,9,,,-1.2,2004,1999-2007,-24.7,2005,1999-2007
9,1,10,,,-1.7,2004,1999-2007,-24.4,2007,1999-2007
10,1,11,,,-2.8,1999,1999-2007,-26.8,2007,1999-2007
11,1,12,,,-2.1,2002,1999-2007,-34.1,2005,1999-2007
12,1,13,,,-1.8,2006,1999-2007,-34.8,2005,1999-2007
13,1,14,,,-0.7,2006,1999-2007,-33.1,2005,1999-2007
14,1,15,,,-1.8,2004,1999-2007,-24.8,2005,1999-2007
15,1,16,,,-3.2,2004,1999-2007,-18.7,2005,1999-2007
16,1,17,,,-2.5,2005,1999-2007,-14.4,2002,1999-2007
17,1,18,,,2.9,2005,1999-2007,-16.6,2002,1999-2007
18,1,19,,,3.5,2005,1999-2007,-14.2,2000,1999-2007
19,1,20,,,3.5,2005,1999-2007,-16.3,2003,1999-2007
20,1,21,,,0.9,2005,1999-2007,-24.5,2003,1999-2007
21,1,22,,,3.1,2005,1999-2007,-24.3,2003,1999-2007
22,1,23,,,2.8,2005,1999-2007,-24.8,1999,1999-2007
23,1,24,,,4.4,2005,1999-2007,-23.1,1999,1999-2007
24,1,25,,,2.2,2005,1999-2007,-26.2,2004,1999-2007
25,1,26,,,2.5,2003,1999-2007,-31.9,2004,1999-2007
26,1,27,,,0.8,2003,1999-2007,-35.7,2004,1999-2007
27,1,28,,,-1.3,2005,1999-2007,-28.0,2004,1999-2007
28,1,29,,,-1.6,2005,1999-2007,-30.0,2004,1999-2007
29,1,30,,,-0.3,2000,1999-2007,-24.0,2004,1999-2007
30,1,31,,,-0.5,2003,1999-2007,-23.0,2004,1999-2007
31,2,1,,,-2.0,2000,1999-2007,-21.8,2007,1999-2007
32,2,2,,,1.6,2005,1999-2007,-15.8,2007,1999-2007
33,2,3,,,5.1,2005,1999-2007,-15.4,2004,1999-2007
34,2,4,,,4.5,1998,1998-2007,-11.6,2000,1998-2007
35,2,5,,,1.6,2007,1998-2007,-16.2,2005,1998-2007
36,2,6,,,0.4,1998,1998-2007,-20.9,2005,1998-2007
37,2,7,,,0.4,1998,1998-2007,-20.9,2005,1998-2007
38,2,8,,,-0.4,2000,1998-2007,-16.4,2007,1998-2007
39,2,9,,,-2.1,2000,1998-2007,-18.1,2007,1998-2007
40,2,10,,,-2.9,2005,1998-2007,-20.4,2000,1998-2007
41,2,11,,,0.1,2005,1998-2007,-21.0,2007,1998-2007
42,2,12,,,0.5,2005,1998-2007,-21.4,2007,1998-2007
43,2,13,,,0.0,2003,1998-2007,-21.7,2007,1998-2007
44,2,14,,,-2.7,2003,1998-2007,-15.9,2000,1998-2007
45,2,15,,,-1.2,2003,1998-2007,-19.6,2006,1998-2007
46,2,16,,,-1.8,2003,1998-2006,-32.8,2006,1998-2006
47,2,17,,,-0.8,2007,1998-2007,-31.7,2006,1998-2007
48,2,18,,,1.0,2007,1998-2007,-20.2,2006,1998-2007
49,2,19,,,-0.2,1998,1998-2007,-16.4,2006,1998-2007
50,2,20,,,-0.3,1998,1998-2007,-17.5,2005,1998-2007
51,2,21,,,-0.8,2000,1998-2007,-14.6,2006,1998-2007
52,2,22,,,0.7,2004,1998-2007,-24.9,2003,1998-2007
