,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,-8.1,-21.6,7.0,2006,1966-2007,-40.0,1991,1966-2006
1,1,2,-8.2,-21.8,7.0,2003,1966-2007,-38.0,1991,1966-2006
2,1,3,-8.3,-21.9,12.0,2003,1966-2007,-38.0,1989,1966-2007
3,1,4,-8.4,-22.0,14.0,2003,1966-2007,-34.0,1989,1966-2007
4,1,5,-8.5,-22.1,15.0,2003,1966-2007,-40.0,1982,1966-2007
5,1,6,-8.5,-22.2,14.0,2003,1966-2007,-38.0,1982,1966-2007
6,1,7,-8.6,-22.2,12.0,2003,1966-2006,-42.0,1982,1966-2007
7,1,8,-8.6,-22.3,10.0,2002,1966-2007,-38.0,1982,1966-2006
8,1,9,-8.6,-22.3,13.0,1992,1966-2007,-38.0,1991,1966-2007
9,1,10,-8.7,-22.4,11.0,1992,1966-2007,-40.0,1980,1966-2007
10,1,11,-8.7,-22.4,7.0,1986,1966-2007,-42.0,1997,1966-2007
11,1,12,-8.7,-22.4,5.0,1986,1966-2007,-46.0,1998,1966-2007
12,1,13,-8.7,-22.5,11.1,1973,1966-2007,-40.0,1998,1966-2007
13,1,14,-8.7,-22.5,8.3,1973,1966-2007,-40.0,1979,1966-2007
14,1,15,-8.6,-22.5,7.0,1986,1966-2007,-38.9,1971,1966-2007
15,1,16,-8.6,-22.5,13.9,1976,1966-2006,-37.8,1970,1966-2006
16,1,17,-8.5,-22.4,12.0,1986,1966-2007,-34.4,1970,1966-2007
17,1,18,-8.5,-22.4,12.2,1976,1966-2006,-33.3,1969,1966-2007
18,1,19,-8.4,-22.4,19.4,1976,1967-2007,-34.0,1982,1967-2006
19,1,20,-8.3,-22.3,17.8,1976,1966-2007,-37.8,1966,1966-2006
20,1,21,-8.2,-22.2,12.2,1976,1966-2007,-38.0,1989,1966-2007
21,1,22,-8.1,-22.2,11.1,1976,1966-2007,-38.0,2003,1966-2007
22,1,23,-8.0,-22.1,12.0,2005,1966-2007,-45.6,1969,1966-2007
23,1,24,-7.9,-22.0,15.0,2005,1966-2007,-44.4,1969,1966-2006
24,1,25,-7.8,-21.9,12.0,2005,1966-2006,-41.1,1969,1966-2006
25,1,26,-7.6,-21.8,8.0,1998,1966-2007,-43.3,1969,1966-2007
26,1,27,-7.5,-21.7,10.0,1992,1966-2007,-42.0,1997,1966-2007
27,1,28,-7.3,-21.5,12.0,1992,1966-2007,-41.1,1969,1966-2007
28,1,29,-7.1,-21.4,10.0,1992,1966-2007,-42.2,1969,1966-2007
29,1,30,-6.9,-21.2,10.0,1992,1966-2007,-41.1,1969,1966-2007
30,1,31,-6.7,-21.1,21.0,1992,1966-2007,-39.0,1989,1966-2007
31,2,1,-6.5,-20.9,20.0,1992,1966-2007,-40.0,1996,1966-2007
32,2,2,-6.3,-20.8,18.0,1992,1966-2007,-38.0,1996,1966-2007
33,2,3,-6.1,-20.6,11.0,1995,1966-2007,-32.2,1975,1966-2007
34,2,4,-5.9,-20.4,10.0,1992,1966-2007,-36.7,1975,1966-2007
35,2,5,-5.7,-20.2,10.0,1988,1966-2007,-35.6,1975,1966-2007
36,2,6,-5.5,-20.1,7.8,1977,1966-2007,-37.0,1988,1966-2007
37,2,7,-5.2,-19.9,8.3,1977,1966-2006,-37.0,1982,1966-2007
38,2,8,-5.0,-19.7,11.7,1977,1966-2006,-44.0,1994,1966-2006
39,2,9,-4.8,-19.5,13.3,1968,1966-2007,-40.0,1994,1966-2006
40,2,10,-4.6,-19.3,8.0,2005,1966-2006,-37.0,1994,1966-2007
41,2,11,-4.3,-19.1,16.0,2005,1966-2007,-34.0,1982,1966-2006
42,2,12,-4.1,-18.9,12.0,2005,1966-2007,-36.0,1988,1966-2007
43,2,13,-3.9,-18.7,13.0,2006,1966-2007,-35.0,1988,1966-2007
44,2,14,-3.6,-18.5,13.0,1981,1966-2007,-35.0,2007,1966-2007
45,2,15,-3.4,-18.3,16.0,1981,1966-2007,-36.0,1986,1966-2007
46,2,16,-3.2,-18.1,17.0,1981,1966-2006,-35.0,1988,1966-2006
47,2,17,-2.9,-17.9,15.0,1981,1966-2006,-38.0,1993,1966-2006
48,2,18,-2.7,-17.7,13.9,1976,1966-2006,-36.0,1986,1966-2006
49,2,19,-2.5,-17.5,12.2,1976,1966-2007,-36.5,1986,1966-2007
50,2,20,-2.2,-17.3,15.0,1995,1966-2007,-36.5,1986,1966-2007
51,2,21,-2.0,-17.1,15.0,1995,1966-2006,-35.0,1993,1966-2007
52,2,22,-1.7,-16.9,16.0,1995,1966-2006,-33.0,1979,1966-2006
53,2,23,-1.5,-16.6,10.0,1995,1966-2007,-36.0,1993,1966-2006
54,2,24,-1.2,-16.4,15.0,2005,1966-2007,-38.0,1993,1966-2007
55,2,25,-1.0,-16.2,20.0,1992,1966-2007,-35.0,1994,1966-2007
56,2,26,-0.7,-16.0,20.0,1992,1966-2007,-35.0,1994,1966-2007
57,2,27,-0.5,-15.7,20.0,1992,1966-2007,-33.0,2001,1966-2007
58,2,28,-0.2,-15.5,20.0,1992,1966-2007,-28.5,1993,1966-2007
59,2,29,-0.2,-15.5,17.0,1992,1968-2004,-30.0,1996,1968-2004
60,3,1,0.0,-15.3,15.6,1968,1966-2007,-33.0,1989,1967-2007
61,3,2,0.3,-15.0,17.2,1968,1966-2007,-34.0,1978,1966-2007
62,3,3,0.5,-14.8,14.4,1968,1966-2007,-36.0,1978,1966-2007
63,3,4,0.8,-14.6,17.0,1992,1966-2007,-32.0,1978,1966-2007
64,3,5,1.1,-14.4,16.0,1992,1966-2007,-32.0,1982,1966-2007
65,3,6,1.3,-14.1,17.0,1992,1966-2007,-35.0,1996,1966-2007
66,3,7,1.6,-13.9,12.2,1977,1966-2007,-30.0,1996,1966-2007
67,3,8,1.8,-13.7,15.0,2005,1966-2007,-34.0,2002,1966-2007
68,3,9,2.1,-13.5,12.0,1992,1966-2007,-36.0,2002,1966-2007
69,3,10,2.3,-13.2,17.5,1995,1966-2007,-30.0,2002,1966-2007
70,3,11,2.5,-13.0,17.5,2005,1966-2007,-25.6,1969,1966-2007
71,3,12,2.8,-12.8,18.0,2007,1966-2007,-30.0,1993,1966-2007
72,3,13,3.0,-12.6,13.3,1972,1966-2005,-27.8,1967,1966-2005
73,3,14,3.3,-12.4,14.0,1981,1966-2005,-31.0,1997,1966-2005
74,3,15,3.5,-12.2,18.9,1968,1966-2007,-30.0,1993,1966-2007
75,3,16,3.8,-11.9,17.0,1995,1966-2007,-28.0,1989,1966-2007
76,3,17,4.0,-11.7,16.7,1972,1966-2005,-22.0,1989,1966-2007
77,3,18,4.2,-11.5,18.9,1972,1966-2005,-28.0,1989,1966-2005
78,3,19,4.5,-11.3,18.0,1992,1966-2007,-25.0,2002,1966-2005
79,3,20,4.7,-11.1,19.0,1992,1966-2007,-30.0,2002,1966-2007
80,3,21,4.9,-10.9,20.0,1992,1966-2005,-32.0,2002,1966-2007
81,3,22,5.2,-10.7,19.5,1992,1966-2007,-36.0,2002,1966-2005
82,3,23,5.4,-10.5,23.0,2007,1966-2007,-32.0,2002,1966-2007
83,3,24,5.6,-10.3,20.0,2007,1966-2007,-30.0,2002,1966-2007
84,3,25,5.9,-10.1,22.0,1999,1966-2007,-28.0,2002,1966-2007
85,3,26,6.1,-9.8,18.0,2003,1966-2007,-23.0,1979,1966-2007
86,3,27,6.3,-9.6,20.0,2000,1966-2007,-23.0,1991,1966-2007
87,3,28,6.5,-9.4,18.0,2003,1966-2007,-21.0,1979,1966-2007
88,3,29,6.8,-9.2,20.0,2003,1966-2005,-23.0,1979,1966-2005
89,3,30,7.0,-9.0,24.0,2004,1966-2005,-25.0,1979,1966-2005
90,3,31,7.2,-8.9,20.0,2004,1966-2007,-28.0,1979,1966-2007
91,4,1,7.4,-8.7,17.8,1966,1966-2007,-27.8,1975,1966-2007
92,4,2,7.7,-8.5,17.0,1998,1966-2007,-23.0,1982,1966-2007
93,4,3,7.9,-8.3,22.5,1990,1966-2007,-24.4,1975,1966-2007
94,4,4,8.1,-8.0,23.3,1972,1966-2007,-29.4,1975,1966-2007
95,4,5,8.4,-7.8,20.0,2000,1966-2007,-27.8,1975,1966-2007
96,4,6,8.6,-7.6,22.2,1976,1966-2007,-25.0,1982,1966-2007
97,4,7,8.8,-7.4,25.0,2005,1966-2007,-24.0,1982,1966-2007
98,4,8,9.0,-7.2,22.8,1976,1966-2007,-22.2,1975,1966-2007
