,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,4.4,1962,1924-1964,-43.3,1928,1924-1964
1,1,2,,,3.3,1962,1924-1964,-38.9,1947,1924-1964
2,1,3,,,5.6,1961,1924-1964,-43.9,1950,1924-1964
3,1,4,,,3.3,1947,1924-1964,-41.1,1950,1924-1964
4,1,5,,,5.0,1961,1924-1964,-47.2,1950,1924-1964
5,1,6,,,5.6,1949,1924-1964,-42.8,1959,1924-1964
6,1,7,,,5.6,1949,1924-1964,-45.6,1930,1924-1964
7,1,8,,,6.7,1928,1924-1964,-45.6,1930,1924-1962
8,1,9,,,4.4,1934,1924-1961,-42.2,1950,1924-1964
9,1,10,,,4.4,1934,1924-1964,-37.8,1930,1924-1964
10,1,11,,,5.6,1942,1924-1964,-41.7,1963,1924-1964
11,1,12,,,3.9,1942,1924-1964,-41.1,1957,1924-1964
12,1,13,,,5.0,1943,1924-1963,-41.1,1957,1924-1964
13,1,14,,,3.3,1943,1924-1964,-47.2,1950,1924-1964
14,1,15,,,6.1,1961,1924-1964,-44.4,1963,1924-1964
15,1,16,,,3.9,1961,1924-1964,-46.7,1950,1924-1964
16,1,17,,,3.3,1942,1924-1964,-47.8,1950,1924-1964
17,1,18,,,3.9,1942,1924-1964,-50.0,1935,1924-1964
18,1,19,,,1.1,1942,1924-1962,-48.9,1943,1924-1963
19,1,20,,,5.0,1944,1924-1964,-49.4,1954,1924-1964
20,1,21,,,2.2,1942,1924-1964,-49.4,1954,1924-1964
21,1,22,,,2.2,1942,1924-1964,-45.6,1935,1924-1964
22,1,23,,,5.6,1942,1924-1964,-45.6,1941,1924-1964
23,1,24,,,4.4,1947,1924-1964,-45.0,1954,1924-1964
24,1,25,,,4.4,1947,1924-1964,-51.2,1950,1924-1964
25,1,26,,,1.7,1942,1924-1964,-50.6,1950,1924-1964
26,1,27,,,5.6,1934,1924-1964,-45.6,1950,1924-1964
27,1,28,,,3.3,1931,1924-1964,-45.6,1929,1924-1964
28,1,29,,,5.6,1931,1924-1964,-49.4,1950,1924-1962
29,1,30,,,6.7,1931,1924-1964,-44.4,1938,1924-1964
30,1,31,,,7.2,1954,1924-1964,-44.4,1932,1924-1964
31,2,1,,,8.9,1924,1924-1964,-48.9,1947,1924-1964
32,2,2,,,8.9,1954,1924-1964,-40.0,1947,1924-1964
33,2,3,,,7.2,1954,1924-1964,-38.9,1939,1924-1964
34,2,4,,,7.2,1954,1924-1964,-40.6,1936,1924-1963
35,2,5,,,7.2,1954,1924-1964,-43.9,1962,1924-1964
36,2,6,,,4.4,1961,1924-1964,-43.3,1962,1924-1964
37,2,7,,,6.1,1954,1924-1964,-43.9,1939,1924-1964
38,2,8,,,8.9,1954,1924-1964,-41.7,1939,1924-1964
39,2,9,,,3.3,1928,1924-1964,-46.7,1939,1924-1964
40,2,10,,,5.0,1940,1924-1964,-41.1,1944,1924-1964
41,2,11,,,4.4,1934,1924-1964,-43.9,1936,1924-1964
42,2,12,,,7.2,1934,1924-1964,-41.7,1930,1924-1964
43,2,13,,,4.4,1934,1924-1964,-45.6,1939,1924-1964
44,2,14,,,4.4,1931,1924-1964,-46.7,1936,1924-1964
45,2,15,,,6.1,1931,1924-1964,-42.8,1936,1924-1964
46,2,16,,,5.0,1930,1924-1964,-42.2,1927,1924-1964
47,2,17,,,8.9,1951,1924-1964,-43.3,1929,1924-1964
48,2,18,,,6.7,1931,1924-1964,-38.9,1941,1924-1964
49,2,19,,,6.7,1931,1924-1964,-46.1,1949,1924-1964
50,2,20,,,5.6,1930,1924-1964,-41.7,1963,1924-1964
51,2,21,,,7.2,1959,1924-1964,-39.4,1963,1924-1964
52,2,22,,,6.7,1958,1924-1964,-37.2,1940,1924-1964
53,2,23,,,6.7,1954,1924-1964,-37.8,1955,1924-1964
54,2,24,,,4.4,1924,1924-1964,-38.3,1962,1924-1964
55,2,25,,,7.2,1932,1924-1964,-35.6,1945,1924-1964
56,2,26,,,9.4,1938,1924-1964,-46.7,1962,1924-1964
57,2,27,,,9.4,1938,1924-1964,-48.3,1962,1924-1964
58,2,28,,,8.9,1938,1924-1964,-47.2,1962,1924-1964
59,2,29,,,5.0,1924,1924-1964,-27.2,1952,1924-1964
60,3,1,,,6.1,1959,1924-1964,-44.4,1962,1924-1963
61,3,2,,,7.8,1934,1924-1964,-40.6,1960,1924-1964
62,3,3,,,8.3,1936,1924-1964,-38.9,1952,1924-1964
63,3,4,,,5.0,1950,1924-1964,-39.4,1962,1924-1964
64,3,5,,,7.8,1937,1924-1964,-37.8,1932,1924-1964
65,3,6,,,13.3,1937,1924-1964,-35.6,1932,1924-1964
66,3,7,,,8.3,1936,1924-1964,-35.6,1932,1924-1964
67,3,8,,,10.0,1959,1924-1964,-36.7,1933,1924-1963
68,3,9,,,5.6,1942,1924-1964,-38.3,1951,1924-1964
69,3,10,,,8.3,1934,1924-1964,-34.4,1931,1924-1964
70,3,11,,,8.9,1934,1924-1963,-40.0,1951,1924-1964
71,3,12,,,6.7,1959,1924-1964,-32.8,1951,1924-1964
72,3,13,,,6.7,1929,1924-1964,-37.8,1944,1924-1964
73,3,14,,,6.7,1934,1924-1964,-33.3,1944,1924-1964
74,3,15,,,11.1,1929,1924-1963,-29.4,1950,1924-1963
75,3,16,,,7.8,1929,1924-1964,-28.9,1941,1924-1964
76,3,17,,,15.0,1960,1924-1964,-32.8,1950,1924-1964
77,3,18,,,14.4,1960,1924-1964,-27.8,1930,1924-1964
78,3,19,,,12.2,1960,1924-1964,-32.8,1930,1924-1964
79,3,20,,,15.0,1960,1924-1964,-34.4,1951,1924-1964
80,3,21,,,12.2,1928,1924-1964,-30.6,1951,1924-1964
81,3,22,,,12.8,1939,1924-1964,-29.4,1962,1924-1964
82,3,23,,,12.2,1939,1924-1964,-27.8,1955,1924-1964
83,3,24,,,12.2,1945,1924-1963,-32.8,1964,1924-1964
84,3,25,,,10.0,1959,1924-1963,-29.4,1933,1924-1964
85,3,26,,,12.2,1946,1924-1963,-26.7,1964,1924-1964
86,3,27,,,20.0,1946,1924-1963,-32.8,1954,1924-1963
87,3,28,,,11.7,1945,1924-1963,-30.0,1934,1924-1963
88,3,29,,,12.2,1945,1924-1963,-28.3,1932,1924-1963
89,3,30,,,12.2,1928,1924-1963,-25.0,1954,1924-1963
90,3,31,,,13.3,1939,1924-1963,-27.2,1936,1924-1963
91,4,1,,,12.2,1959,1924-1963,-23.3,1936,1924-1963
92,4,2,,,10.0,1930,1924-1963,-35.6,1954,1924-1963
93,4,3,,,14.4,1959,1924-1963,-28.9,1936,1924-1963
94,4,4,,,12.8,1960,1924-1963,-20.0,1935,1924-1963
95,4,5,,,13.3,1931,1924-1963,-23.3,1948,1924-1963
96,4,6,,,15.6,1925,1924-1963,-21.1,1948,1924-1963
97,4,7,,,17.2,1931,1924-1963,-26.1,1945,1924-1963
98,4,8,,,18.9,1925,1924-1963,-31.1,1936,1924-1963
99,4,9,,,22.2,1925,1924-1963,-32.2,1936,1924-1963
100,4,10,,,23.3,1949,1924-1963,-21.1,1940,1924-1963
101,4,11,,,18.9,1926,1924-1963,-16.1,1935,1924-1963
102,4,12,,,20.6,1959,1924-1963,-26.1,1948,1924-1963
103,4,13,,,18.3,1941,1924-1963,-17.8,1948,1924-1963
104,4,14,,,20.0,1952,1924-1963,-21.7,1948,1924-1963
105,4,15,,,18.9,1941,1924-1962,-17.8,1948,1924-1963
106,4,16,,,20.6,1952,1924-1963,-16.1,1928,1924-1963
107,4,17,,,26.1,1952,1924-1963,-15.0,1928,1924-1963
108,4,18,,,23.9,1949,1924-1963,-15.6,1927,1924-1963
109,4,19,,,27.8,1952,1924-1963,-21.1,1927,1924-1963
110,4,20,,,18.9,1943,1924-1964,-17.8,1927,1924-1963
111,4,21,,,25.6,1934,1924-1964,-12.2,1947,1924-1964
112,4,22,,,18.9,1926,1924-1964,-11.7,1947,1924-1964
113,4,23,,,23.3,1962,1924-1964,-11.1,1947,1924-1964
114,4,24,,,25.0,1952,1924-1964,-9.4,1947,1924-1964
115,4,25,,,27.8,1952,1924-1964,-10.6,1959,1924-1964
116,4,26,,,28.3,1952,1924-1964,-23.3,1956,1924-1964
117,4,27,,,25.6,1949,1924-1964,-20.6,1956,1924-1964
118,4,28,,,30.6,1952,1924-1964,-15.0,1956,1924-1964
119,4,29,,,27.8,1939,1924-1964,-16.1,1958,1924-1964
120,4,30,,,31.7,1939,1924-1964,-10.0,1954,1924-1964
121,5,1,,,25.6,1941,1923-1963,-10.0,1926,1923-1963
122,5,2,,,24.4,1937,1923-1963,-8.3,1950,1923-1963
123,5,3,,,24.4,1957,1923-1963,-9.4,1950,1923-1963
124,5,4,,,27.2,1957,1923-1963,-8.9,1929,1923-1963
