,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,7.2,1968,1963-1968,-4.4,1966,1963-1968
1,1,2,,,7.2,1963,1963-1968,-2.2,1966,1963-1968
2,1,3,,,7.2,1963,1963-1968,-6.7,1966,1963-1968
3,1,4,,,6.1,1963,1963-1968,-5.0,1966,1963-1968
4,1,5,,,5.6,1963,1963-1968,-7.2,1966,1963-1968
5,1,6,,,6.7,1963,1963-1968,-3.3,1967,1963-1968
6,1,7,,,8.9,1963,1963-1968,-5.6,1965,1963-1968
7,1,8,,,5.6,1967,1963-1968,-3.9,1965,1963-1968
8,1,9,,,8.3,1967,1963-1968,-1.1,1965,1963-1968
9,1,10,,,7.8,1967,1963-1968,-6.1,1963,1963-1968
10,1,11,,,6.7,1967,1963-1968,-4.4,1968,1963-1968
11,1,12,,,8.9,1966,1963-1968,-2.2,1963,1963-1968
12,1,13,,,9.4,1966,1963-1968,-1.7,1963,1963-1968
13,1,14,,,11.1,1968,1963-1968,0.6,1966,1963-1968
14,1,15,,,10.0,1963,1963-1968,-2.2,1963,1963-1968
15,1,16,,,7.8,1963,1963-1968,0.0,1963,1963-1968
16,1,17,,,10.0,1968,1963-1968,-1.7,1965,1963-1968
17,1,18,,,11.1,1965,1963-1968,-2.8,1967,1963-1968
18,1,19,,,12.8,1968,1963-1968,-3.3,1966,1963-1968
19,1,20,,,11.7,1968,1963-1968,-2.2,1966,1963-1968
20,1,21,,,11.1,1968,1963-1968,-0.6,1963,1963-1968
21,1,22,,,12.8,1963,1963-1968,-1.7,1967,1963-1968
22,1,23,,,10.6,1968,1963-1968,-2.8,1967,1963-1968
23,1,24,,,7.8,1963,1963-1968,-5.0,1966,1963-1968
24,1,25,,,11.7,1963,1963-1968,-9.4,1963,1963-1968
25,1,26,,,10.6,1963,1963-1968,-3.3,1963,1963-1968
26,1,27,,,11.1,1963,1963-1968,-7.2,1963,1963-1968
27,1,28,,,10.0,1966,1963-1968,-4.4,1963,1963-1968
28,1,29,,,11.1,1966,1963-1968,-5.0,1968,1963-1968
29,1,30,,,9.4,1966,1963-1968,-2.8,1968,1963-1968
30,1,31,,,10.6,1966,1963-1968,-2.2,1963,1963-1968
31,2,1,,,8.9,1968,1963-1968,-8.9,1963,1963-1968
32,2,2,,,8.3,1968,1963-1968,-7.8,1963,1963-1968
33,2,3,,,7.8,1966,1963-1967,-1.1,1963,1963-1968
34,2,4,,,11.1,1968,1963-1968,0.6,1963,1963-1968
35,2,5,,,12.8,1963,1963-1968,-0.6,1968,1963-1968
36,2,6,,,13.3,1963,1963-1968,-1.1,1963,1963-1968
37,2,7,,,10.6,1963,1963-1968,-3.3,1966,1963-1968
38,2,8,,,17.8,1963,1963-1968,-2.2,1966,1963-1968
39,2,9,,,14.4,1963,1963-1968,-2.2,1966,1963-1968
40,2,10,,,16.1,1963,1963-1968,-2.2,1963,1963-1968
41,2,11,,,10.6,1963,1963-1968,-6.1,1963,1963-1968
42,2,12,,,11.1,1968,1963-1968,-2.8,1963,1963-1968
43,2,13,,,10.6,1968,1963-1968,-1.1,1966,1963-1968
44,2,14,,,11.7,1963,1963-1968,-1.7,1967,1963-1968
45,2,15,,,10.6,1968,1963-1968,-2.2,1966,1963-1968
46,2,16,,,10.6,1968,1963-1968,-2.2,1968,1963-1968
47,2,17,,,11.1,1963,1963-1968,-0.6,1968,1963-1968
48,2,18,,,11.7,1963,1963-1968,-0.6,1963,1963-1968
49,2,19,,,13.3,1963,1963-1968,-1.1,1967,1963-1968
50,2,20,,,12.8,1963,1963-1968,-0.6,1967,1963-1968
51,2,21,,,13.9,1963,1963-1968,-1.7,1967,1963-1968
52,2,22,,,15.0,1966,1963-1968,-0.6,1965,1963-1968
53,2,23,,,12.8,1963,1963-1968,0.6,1967,1963-1968
54,2,24,,,13.9,1963,1963-1968,0.6,1966,1963-1968
55,2,25,,,12.8,1963,1963-1968,-0.6,1963,1963-1968
56,2,26,,,14.4,1968,1963-1968,-0.6,1963,1963-1968
57,2,27,,,17.8,1968,1963-1968,-6.7,1963,1963-1968
58,2,28,,,17.8,1968,1963-1968,-1.1,1965,1963-1968
59,2,29,,,17.2,1968,1968-1968,3.9,1968,1968-1968
60,3,1,,,10.6,1968,1965-1968,-1.7,1966,1965-1968
61,3,2,,,11.7,1965,1965-1967,-2.2,1966,1965-1968
62,3,3,,,12.2,1965,1965-1968,-1.1,1966,1965-1968
63,3,4,,,15.0,1965,1965-1968,-2.2,1966,1965-1968
64,3,5,,,16.7,1965,1965-1968,0.0,1966,1965-1968
65,3,6,,,17.2,1965,1965-1967,0.0,1966,1965-1968
66,3,7,,,17.2,1965,1965-1967,-1.1,1966,1965-1967
67,3,8,,,17.8,1965,1965-1967,-2.2,1966,1965-1967
68,3,9,,,18.9,1965,1965-1967,-1.1,1967,1965-1967
69,3,10,,,20.6,1965,1965-1967,-1.1,1967,1965-1967
70,3,11,,,22.2,1965,1965-1967,-1.7,1967,1965-1967
71,3,12,,,23.3,1965,1965-1967,0.0,1967,1965-1967
72,3,13,,,15.6,1965,1965-1968,-2.2,1967,1965-1968
73,3,14,,,13.3,1965,1965-1968,-1.1,1965,1965-1968
74,3,15,,,13.3,1965,1965-1968,-1.1,1965,1965-1968
75,3,16,,,10.0,1965,1965-1967,-0.6,1965,1965-1967
76,3,17,,,9.4,1965,1965-1968,-3.3,1965,1965-1968
77,3,18,,,9.4,1965,1965-1968,-3.3,1965,1965-1968
78,3,19,,,8.9,1968,1965-1968,-1.7,1965,1965-1968
79,3,20,,,16.1,1968,1965-1968,-1.1,1966,1965-1968
80,3,21,,,16.7,1968,1965-1968,-1.1,1966,1965-1968
81,3,22,,,11.1,1965,1965-1968,1.1,1966,1965-1968
82,3,23,,,11.1,1965,1965-1968,-1.1,1965,1965-1968
83,3,24,,,10.0,1966,1965-1968,-1.7,1965,1965-1968
84,3,25,,,15.6,1966,1965-1968,-0.6,1965,1965-1968
85,3,26,,,16.1,1966,1965-1968,-1.7,1965,1965-1968
86,3,27,,,11.1,1966,1965-1968,-3.3,1965,1965-1968
87,3,28,,,11.1,1966,1965-1968,-1.7,1965,1965-1968
88,3,29,,,11.7,1966,1965-1968,-1.1,1967,1965-1968
89,3,30,,,13.9,1965,1965-1968,-1.1,1968,1965-1968
90,3,31,,,11.7,1966,1965-1968,-0.6,1965,1965-1968
91,4,1,,,16.7,1967,1965-1968,-1.1,1965,1965-1968
92,4,2,,,16.1,1968,1965-1968,1.1,1966,1965-1968
93,4,3,,,20.6,1966,1965-1968,1.7,1965,1965-1968
94,4,4,,,21.1,1966,1965-1968,2.2,1968,1965-1968
95,4,5,,,15.0,1967,1965-1968,2.2,1967,1965-1968
96,4,6,,,16.7,1967,1965-1968,0.6,1967,1965-1968
97,4,7,,,15.0,1967,1965-1968,0.6,1968,1965-1968
98,4,8,,,12.8,1967,1965-1968,3.9,1965,1965-1968
99,4,9,,,13.9,1967,1965-1968,3.3,1965,1965-1968
100,4,10,,,12.2,1967,1965-1968,0.0,1967,1965-1968
101,4,11,,,16.7,1965,1965-1968,-1.1,1966,1965-1968
102,4,12,,,9.4,1968,1965-1968,-2.2,1968,1965-1968
103,4,13,,,10.0,1965,1965-1968,0.0,1965,1965-1968
104,4,14,,,18.9,1965,1965-1968,0.0,1968,1965-1968
105,4,15,,,23.3,1965,1965-1968,-0.6,1967,1965-1968
106,4,16,,,17.8,1965,1965-1968,0.0,1968,1965-1968
107,4,17,,,17.2,1966,1965-1968,0.0,1968,1965-1968
108,4,18,,,18.3,1966,1965-1968,0.6,1968,1965-1968
109,4,19,,,17.2,1966,1965-1968,0.0,1968,1965-1968
110,4,20,,,16.7,1967,1965-1968,2.2,1966,1965-1968
111,4,21,,,16.7,1967,1965-1968,-0.6,1968,1965-1968
112,4,22,,,13.9,1967,1965-1968,1.1,1968,1965-1968
113,4,23,,,13.9,1966,1965-1968,2.8,1968,1965-1968
114,4,24,,,17.2,1965,1965-1968,2.8,1967,1965-1968
115,4,25,,,12.8,1965,1965-1968,2.2,1967,1965-1968
116,4,26,,,15.6,1966,1965-1968,-0.6,1967,1965-1968
117,4,27,,,15.0,1967,1965-1968,3.3,1966,1965-1968
118,4,28,,,16.7,1966,1965-1968,2.2,1967,1965-1968
119,4,29,,,16.1,1967,1965-1968,1.1,1966,1965-1968
120,4,30,,,16.7,1967,1965-1968,0.6,1965,1965-1968
121,5,1,,,18.3,1966,1965-1968,0.0,1965,1965-1968
122,5,2,,,18.3,1966,1965-1968,1.7,1965,1965-1968
123,5,3,,,21.1,1966,1965-1968,3.3,1965,1965-1968
124,5,4,,,25.0,1966,1965-1968,0.0,1965,1965-1968
125,5,5,,,26.1,1966,1965-1968,-1.1,1965,1965-1967
126,5,6,,,17.8,1965,1965-1968,0.6,1965,1965-1968
127,5,7,,,20.0,1968,1965-1968,1.1,1965,1965-1968
128,5,8,,,23.3,1968,1965-1968,3.3,1965,1965-1968
129,5,9,,,26.1,1968,1965-1968,1.7,1967,1965-1968
130,5,10,,,23.3,1968,1965-1968,2.2,1967,1965-1968
131,5,11,,,22.8,1968,1965-1968,4.4,1966,1965-1968
132,5,12,,,22.2,1968,1965-1968,3.3,1968,1965-1968
133,5,13,,,20.0,1968,1965-1968,2.8,1965,1965-1968
134,5,14,,,18.3,1968,1965-1968,2.2,1966,1965-1968
135,5,15,,,19.4,1968,1965-1968,3.9,1966,1965-1968
136,5,16,,,22.8,1968,1965-1968,0.6,1965,1965-1968
137,5,17,,,23.9,1968,1965-1968,0.6,1965,1965-1968
138,5,18,,,23.9,1968,1965-1968,2.2,1965,1965-1968
139,5,19,,,22.8,1968,1965-1968,5.6,1965,1965-1968
140,5,20,,,21.7,1967,1965-1968,6.1,1965,1965-1968
141,5,21,,,20.6,1967,1965-1968,3.9,1966,1965-1968
142,5,22,,,18.9,1965,1965-1968,1.7,1966,1965-1968
143,5,23,,,18.9,1965,1965-1968,5.6,1966,1965-1968
144,5,24,,,19.4,1965,1965-1968,5.6,1967,1965-1968
145,5,25,,,20.0,1965,1965-1968,2.8,1967,1965-1968
146,5,26,,,20.0,1965,1965-1968,6.7,1965,1965-1967
147,5,27,,,18.9,1968,1965-1968,3.3,1966,1965-1968
148,5,28,,,17.2,1968,1965-1968,4.4,1966,1965-1968
149,5,29,,,18.3,1966,1965-1968,5.0,1966,1965-1968
150,5,30,,,18.9,1967,1965-1967,5.6,1967,1965-1967
151,5,31,,,22.2,1967,1965-1968,3.3,1966,1965-1967
152,6,1,,,30.0,1967,1965-1968,1.7,1966,1965-1968
153,6,2,,,22.8,1967,1965-1968,3.3,1966,1965-1968
154,6,3,,,21.1,1965,1965-1968,7.2,1968,1965-1968
155,6,4,,,25.0,1965,1965-1968,5.6,1966,1965-1968
156,6,5,,,23.9,1965,1965-1968,8.3,1966,1965-1968
157,6,6,,,26.7,1965,1965-1968,8.9,1966,1965-1968
158,6,7,,,27.2,1965,1965-1968,8.9,1966,1965-1968
159,6,8,,,21.7,1968,1965-1968,7.2,1965,1965-1968
160,6,9,,,21.1,1968,1965-1968,6.1,1968,1965-1968
161,6,10,,,16.1,1965,1965-1968,8.9,1965,1965-1968
162,6,11,,,23.9,1967,1965-1968,6.1,1965,1965-1968
163,6,12,,,22.8,1967,1965-1968,3.3,1965,1965-1968
164,6,13,,,21.7,1967,1965-1968,5.6,1965,1965-1968
165,6,14,,,22.8,1967,1965-1968,6.1,1968,1965-1968
166,6,15,,,27.8,1966,1965-1968,5.0,1965,1965-1968
167,6,16,,,30.6,1967,1965-1968,8.9,1965,1965-1968
