,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,-27.6,-34.6,-7.7,1992,1947-2013,-45.6,1947,1947-2013
1,1,2,-27.7,-34.8,-7.5,1992,1947-2013,-47.8,1954,1947-2013
2,1,3,-27.8,-34.9,-8.8,1992,1947-2013,-47.8,1954,1947-2013
3,1,4,-28.0,-35.0,-11.1,1970,1947-2013,-46.7,1954,1947-2013
4,1,5,-28.1,-35.1,-11.3,2006,1947-2013,-45.3,2004,1947-2013
5,1,6,-28.2,-35.2,-5.9,2011,1947-2013,-47.2,1954,1947-2013
6,1,7,-28.3,-35.4,-5.4,2011,1947-2013,-49.0,1982,1947-2013
7,1,8,-28.4,-35.5,-6.3,2011,1947-2013,-48.8,1982,1947-2013
8,1,9,-28.4,-35.5,-6.5,1987,1947-2013,-45.6,1957,1947-2013
9,1,10,-28.5,-35.6,-7.0,1987,1947-2013,-46.1,1957,1947-2013
10,1,11,-28.6,-35.7,-11.9,1985,1947-2013,-47.8,1957,1947-2013
11,1,12,-28.7,-35.8,-14.2,1993,1947-2013,-45.6,1950,1947-2013
12,1,13,-28.7,-35.9,-8.2,1977,1947-2013,-47.8,1975,1947-2013
13,1,14,-28.8,-35.9,-11.2,1977,1947-2013,-48.9,1962,1947-2013
14,1,15,-28.9,-36.0,-9.3,1977,1947-2013,-47.8,1962,1947-2013
15,1,16,-28.9,-36.0,-7.7,1981,1947-2013,-44.4,1950,1947-2013
16,1,17,-28.9,-36.1,-3.5,1981,1947-2012,-45.0,1950,1947-2013
17,1,18,-29.0,-36.1,-7.6,2009,1947-2013,-46.1,1953,1947-2013
18,1,19,-29.0,-36.1,-6.8,2009,1947-2013,-49.4,1975,1947-2013
19,1,20,-29.0,-36.2,-2.5,1981,1947-2013,-50.6,1975,1947-2013
20,1,21,-29.1,-36.2,-2.3,1981,1947-2013,-47.8,1975,1947-2013
21,1,22,-29.1,-36.2,-8.0,2001,1947-2013,-45.6,1950,1947-2013
22,1,23,-29.1,-36.2,-13.1,2010,1947-2013,-45.6,1957,1947-2013
23,1,24,-29.1,-36.2,-12.1,2008,1947-2013,-45.6,1950,1947-2013
24,1,25,-29.1,-36.2,-15.0,1981,1947-2013,-47.2,1962,1947-2013
25,1,26,-29.1,-36.2,-11.8,1981,1947-2013,-46.7,1966,1947-2013
26,1,27,-29.1,-36.1,-9.2,2000,1947-2013,-47.8,1970,1947-2013
27,1,28,-29.0,-36.1,-1.7,2000,1947-2013,-47.2,1970,1947-2013
28,1,29,-29.0,-36.1,-4.1,2000,1947-2013,-47.2,1970,1947-2013
29,1,30,-29.0,-36.0,-17.5,1981,1947-2013,-47.8,1950,1947-2013
30,1,31,-28.9,-36.0,-10.1,1992,1947-2013,-48.9,1950,1947-2013
31,2,1,-28.9,-36.0,-10.6,1960,1948-2013,-46.7,1950,1947-2013
32,2,2,-28.9,-35.9,-7.8,1964,1948-2013,-47.2,1950,1947-2013
33,2,3,-28.8,-35.8,-11.1,1964,1948-2013,-46.7,1950,1947-2013
34,2,4,-28.8,-35.8,-2.6,2012,1948-2013,-46.7,1970,1947-2013
35,2,5,-28.7,-35.7,-11.2,1991,1948-2013,-45.4,1979,1947-2013
36,2,6,-28.6,-35.7,-4.1,1991,1948-2013,-47.8,1951,1947-2013
37,2,7,-28.6,-35.6,-12.5,1978,1948-2013,-47.8,1951,1947-2013
38,2,8,-28.5,-35.6,-10.4,2006,1948-2013,-46.7,1957,1947-2013
39,2,9,-28.5,-35.5,-6.9,2006,1948-2013,-45.0,1957,1947-2013
40,2,10,-28.4,-35.4,-10.0,1953,1948-2013,-45.8,1979,1947-2013
41,2,11,-28.3,-35.4,-13.3,1961,1948-2013,-46.9,1979,1947-2013
42,2,12,-28.2,-35.3,-11.1,1968,1948-2013,-48.8,1979,1947-2013
43,2,13,-28.1,-35.2,-12.7,2010,1948-2013,-48.3,1973,1947-2013
44,2,14,-28.0,-35.2,-13.3,2010,1948-2013,-48.8,1990,1947-2013
45,2,15,-28.0,-35.1,-12.2,1969,1947-2013,-47.1,1990,1947-2013
46,2,16,-27.9,-35.0,-11.1,1980,1947-2013,-47.3,1988,1947-2013
47,2,17,-27.8,-35.0,-10.8,1998,1947-2013,-48.3,1954,1947-2013
48,2,18,-27.7,-34.9,-10.7,1984,1946-2013,-46.1,1954,1946-2013
49,2,19,-27.6,-34.8,-11.5,1984,1946-2013,-45.0,1965,1946-2013
50,2,20,-27.4,-34.7,-11.3,1984,1946-2013,-47.8,1965,1946-2013
51,2,21,-27.3,-34.7,-10.6,1982,1946-2013,-48.9,1965,1946-2013
52,2,22,-27.2,-34.6,-9.9,1996,1946-2013,-47.8,1965,1946-2013
53,2,23,-27.1,-34.5,-7.8,1975,1946-2013,-45.0,1946,1946-2013
54,2,24,-27.0,-34.4,-14.4,1954,1946-2013,-47.2,1955,1946-2013
55,2,25,-26.9,-34.4,-7.2,1983,1946-2013,-48.9,1955,1946-2013
56,2,26,-26.7,-34.3,-10.6,1947,1946-2013,-46.1,1955,1946-2013
57,2,27,-26.6,-34.2,-11.1,1947,1946-2013,-50.0,1955,1946-2013
58,2,28,-26.4,-34.1,-8.9,1969,1946-2013,-47.8,1955,1946-2013
59,2,29,-26.4,-34.1,-16.4,1996,1948-2012,-45.6,1964,1952-2012
60,3,1,-26.3,-34.0,-7.2,1965,1946-2013,-50.0,1950,1946-2013
61,3,2,-26.2,-34.0,-7.2,1947,1946-2013,-42.8,1964,1946-2013
62,3,3,-26.0,-33.9,-2.2,1967,1946-2013,-46.1,1955,1946-2013
63,3,4,-25.8,-33.7,-8.3,1965,1946-2013,-46.7,1955,1946-2013
64,3,5,-25.7,-33.6,-6.3,1977,1946-2013,-43.8,1979,1946-2013
65,3,6,-25.5,-33.5,-3.1,1977,1946-2013,-43.4,1995,1946-2013
66,3,7,-25.3,-33.4,-7.5,1990,1946-2013,-47.2,1955,1946-2013
67,3,8,-25.1,-33.2,-10.1,2001,1946-2013,-44.4,1955,1946-2013
68,3,9,-24.9,-33.1,-8.2,2010,1946-2013,-41.1,1972,1946-2013
69,3,10,-24.7,-32.9,-5.9,1983,1946-2013,-43.4,1991,1946-2013
70,3,11,-24.4,-32.8,-8.5,2010,1946-2013,-42.8,1964,1946-2013
71,3,12,-24.2,-32.6,-8.5,1991,1946-2013,-45.0,1976,1946-2013
72,3,13,-24.0,-32.4,-4.9,2010,1946-2013,-43.7,1985,1946-2013
73,3,14,-23.7,-32.2,-6.1,1950,1946-2013,-42.4,1985,1946-2013
74,3,15,-23.5,-32.0,-5.8,2010,1946-2013,-41.9,2008,1946-2013
75,3,16,-23.2,-31.8,-3.8,1995,1946-2013,-43.6,2008,1946-2013
76,3,17,-22.9,-31.6,-6.0,2001,1946-2013,-40.0,1964,1946-2013
77,3,18,-22.7,-31.4,-3.9,1956,1946-2013,-42.8,1965,1946-2013
78,3,19,-22.4,-31.2,-4.4,1955,1946-2013,-44.4,1965,1946-2013
79,3,20,-22.1,-30.9,-4.4,1955,1946-2013,-42.8,1965,1946-2013
80,3,21,-21.8,-30.7,-5.7,1981,1946-2013,-42.2,1975,1946-2013
81,3,22,-21.5,-30.5,-5.4,1981,1946-2013,-41.1,1975,1946-2013
82,3,23,-21.1,-30.2,-3.4,1995,1946-2013,-38.9,1975,1946-2013
83,3,24,-20.8,-29.9,-0.5,1993,1946-2013,-38.9,1963,1946-2013
84,3,25,-20.5,-29.6,-3.9,1958,1946-2013,-39.1,1998,1946-2013
85,3,26,-20.1,-29.4,1.5,1999,1946-2013,-40.0,1960,1946-2013
86,3,27,-19.8,-29.1,-4.4,1968,1946-2013,-40.6,1960,1946-2013
87,3,28,-19.4,-28.8,-5.5,1999,1946-2013,-40.6,1960,1946-2013
88,3,29,-19.0,-28.5,-3.1,2000,1946-2013,-40.3,1979,1946-2013
89,3,30,-18.7,-28.1,-1.1,1958,1946-2013,-39.2,1979,1946-2013
90,3,31,-18.3,-27.8,0.1,2004,1946-2013,-38.2,1979,1946-2013
91,4,1,-17.9,-27.5,-2.3,1984,1946-2013,-38.6,1979,1946-2013
92,4,2,-17.5,-27.1,-3.9,1966,1946-2013,-38.8,1979,1946-2013
93,4,3,-17.1,-26.8,0.6,1951,1946-2013,-35.6,1956,1946-2013
94,4,4,-16.7,-26.5,-2.6,2001,1946-2013,-35.1,1977,1946-2013
95,4,5,-16.4,-26.1,0.6,2001,1946-2013,-35.9,1980,1946-2013
96,4,6,-16.0,-25.8,-1.2,1983,1946-2013,-37.2,1980,1946-2013
97,4,7,-15.6,-25.4,-3.9,2012,1946-2013,-35.3,1978,1946-2013
98,4,8,-15.2,-25.0,-2.5,1996,1946-2013,-36.1,1946,1946-2013
99,4,9,-14.8,-24.7,-1.4,1977,1946-2013,-36.1,1946,1946-2013
100,4,10,-14.5,-24.3,-1.0,1977,1946-2013,-41.1,1964,1946-2013
101,4,11,-14.1,-23.9,-0.6,1946,1946-2013,-38.9,1964,1946-2013
102,4,12,-13.8,-23.6,-0.9,1999,1946-2013,-35.8,1981,1946-2013
103,4,13,-13.4,-23.2,2.9,1980,1946-2013,-37.5,1981,1946-2013
104,4,14,-13.0,-22.8,4.4,2010,1946-2013,-34.4,1948,1946-2013
105,4,15,-12.7,-22.4,1.2,1977,1946-2013,-36.2,1985,1946-2013
106,4,16,-12.3,-22.0,2.8,1984,1946-2013,-34.4,1958,1946-2013
107,4,17,-12.0,-21.6,4.6,1984,1946-2013,-33.9,1964,1946-2013
108,4,18,-11.6,-21.2,1.5,1984,1946-2013,-33.0,1981,1946-2013
109,4,19,-11.3,-20.8,2.6,2006,1946-2013,-31.7,1964,1946-2013
110,4,20,-10.9,-20.4,3.9,1971,1946-2013,-32.8,1964,1946-2013
111,4,21,-10.6,-20.0,-0.3,1997,1946-2013,-30.0,1966,1946-2013
112,4,22,-10.3,-19.6,1.1,1969,1946-2013,-29.4,1957,1946-2013
113,4,23,-9.9,-19.1,1.3,1997,1946-2013,-28.9,1966,1946-2013
114,4,24,-9.6,-18.7,2.2,1999,1946-2013,-31.7,1956,1946-2013
115,4,25,-9.3,-18.3,-1.0,2010,1946-2013,-31.7,1956,1946-2013
116,4,26,-8.9,-17.8,2.9,1980,1946-2013,-29.4,1974,1946-2013
117,4,27,-8.6,-17.4,5.0,1975,1946-2013,-31.1,1958,1946-2013
118,4,28,-8.3,-17.0,3.3,1953,1946-2013,-31.1,1966,1946-2013
119,4,29,-8.0,-16.5,4.3,2006,1946-2013,-30.0,1974,1946-2013
120,4,30,-7.7,-16.0,4.9,1980,1946-2013,-29.4,1974,1946-2013
121,5,1,-7.4,-15.6,6.1,1964,1946-2013,-26.4,1993,1946-2013
122,5,2,-7.0,-15.1,6.7,1951,1946-2013,-26.8,2013,1946-2013
123,5,3,-6.7,-14.7,9.4,1951,1946-2013,-27.8,1966,1946-2013
124,5,4,-6.4,-14.2,2.2,1951,1946-2013,-26.1,1966,1946-2013
125,5,5,-6.1,-13.8,5.0,1951,1946-2013,-27.2,1974,1946-2013
126,5,6,-5.7,-13.4,3.9,1973,1946-2013,-24.1,2009,1946-2013
127,5,7,-5.4,-12.9,5.0,1976,1946-2013,-26.1,1959,1946-2013
128,5,8,-5.1,-12.5,4.4,1975,1946-2013,-27.2,1962,1946-2013
129,5,9,-4.7,-12.1,3.0,1977,1946-2013,-25.6,1961,1946-2013
130,5,10,-4.4,-11.7,3.3,1952,1946-2013,-24.4,1962,1946-2013
131,5,11,-4.1,-11.3,4.7,1980,1946-2013,-26.5,1978,1946-2013
132,5,12,-3.7,-10.9,4.4,1980,1946-2013,-23.3,1978,1946-2013
133,5,13,-3.4,-10.5,6.6,1980,1946-2013,-21.7,1962,1946-2013
134,5,14,-3.0,-10.1,8.3,1952,1946-2013,-25.6,1962,1946-2013
135,5,15,-2.7,-9.7,3.9,1955,1946-2013,-25.0,1962,1946-2013
136,5,16,-2.3,-9.3,5.6,1952,1946-2013,-19.4,2009,1946-2013
