,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,5,2,,,18.3,1979,1979-1979,8.3,1979,1979-1979
1,5,21,,,13.0,1984,1980-1984,-4.5,1984,1980-1984
2,5,22,,,18.0,1984,1980-1984,-1.1,1980,1980-1984
3,5,23,,,14.5,1984,1980-1984,-3.3,1980,1980-1984
4,5,24,,,11.1,1980,1980-1984,-10.6,1978,1978-1984
5,5,25,,,16.1,1980,1978-1984,-6.1,1978,1978-1984
6,5,26,,,15.6,1978,1978-1984,-6.7,1978,1978-1984
7,5,27,,,21.1,1978,1978-1984,-3.0,1984,1978-1984
8,5,28,,,18.3,1978,1978-1984,-2.5,1984,1978-1984
9,5,29,,,18.3,1980,1978-1984,-2.8,1980,1978-1984
10,5,30,,,26.1,1980,1978-1984,-2.8,1978,1978-1984
11,5,31,,,14.4,1980,1978-1984,3.9,1980,1978-1984
12,6,1,,,27.8,1979,1978-1985,-6.1,1978,1978-1985
13,6,2,,,18.3,1979,1978-1985,-2.0,1984,1978-1985
14,6,3,,,20.0,1980,1978-1985,-5.5,1982,1978-1985
15,6,4,,,17.0,1981,1978-1985,-3.0,1981,1978-1985
16,6,5,,,20.5,1984,1978-1985,-4.4,1978,1978-1985
17,6,6,,,25.0,1980,1978-1985,-2.8,1979,1978-1985
18,6,7,,,28.0,1982,1978-1985,-3.9,1978,1978-1985
19,6,8,,,29.0,1982,1978-1985,-6.1,1978,1978-1985
20,6,9,,,24.5,1985,1978-1985,-3.3,1979,1978-1985
21,6,10,,,29.0,1982,1978-1985,-4.4,1978,1978-1985
22,6,11,,,22.0,1982,1978-1985,-6.7,1979,1978-1985
23,6,12,,,20.5,1983,1978-1985,-1.7,1980,1978-1985
24,6,13,,,26.5,1983,1978-1985,-1.7,1979,1978-1985
25,6,14,,,30.0,1983,1978-1985,-4.0,1984,1978-1985
26,6,15,,,33.5,1983,1978-1985,0.0,1980,1978-1985
27,6,16,,,28.5,1983,1978-1985,-2.8,1980,1979-1985
28,6,17,,,24.5,1983,1978-1985,2.0,1981,1978-1985
29,6,18,,,23.5,1981,1979-1985,2.0,1981,1978-1985
30,6,19,,,26.7,1978,1978-1985,-1.7,1980,1978-1985
31,6,20,,,30.6,1978,1978-1985,-3.3,1980,1978-1985
32,6,21,,,31.0,1983,1978-1985,0.5,1980,1978-1985
33,6,22,,,27.0,1985,1978-1985,1.0,1982,1978-1985
34,6,23,,,23.5,1985,1978-1985,1.0,1984,1978-1985
35,6,24,,,25.0,1984,1978-1985,0.6,1979,1978-1985
36,6,25,,,22.8,1979,1978-1985,3.0,1981,1978-1985
37,6,26,,,26.0,1985,1978-1985,0.5,1981,1978-1985
38,6,27,,,29.0,1985,1978-1985,-1.0,1983,1978-1985
39,6,28,,,31.5,1985,1978-1985,0.5,1983,1978-1985
40,6,29,,,24.0,1984,1978-1985,2.0,1980,1978-1985
41,6,30,,,24.5,1983,1978-1985,0.0,1982,1978-1985
42,7,1,,,25.6,1979,1978-1985,-1.7,1978,1978-1985
43,7,2,,,29.5,1981,1978-1985,-0.6,1978,1978-1985
44,7,3,,,27.0,1981,1978-1985,2.5,1982,1978-1985
45,7,4,,,26.1,1978,1978-1985,1.5,1980,1978-1985
