,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,-14.6,2015.0,2015-2015,-29.9,2015,2015-2015
1,1,2,,,-20.5,2015.0,2015-2015,-31.6,2015,2015-2015
2,1,3,,,-21.6,2015.0,2015-2015,-30.3,2015,2015-2015
3,1,4,,,-28.8,2015.0,2015-2015,-37.3,2015,2015-2015
4,1,5,,,-24.3,2015.0,2015-2015,-34.1,2015,2015-2015
5,1,6,,,-23.7,2015.0,2015-2015,-31.2,2015,2015-2015
6,1,7,,,-17.7,2015.0,2015-2015,-33.2,2015,2015-2015
7,1,8,,,-16.3,2015.0,2015-2015,-26.6,2015,2015-2015
8,1,9,,,-22.1,2015.0,2015-2015,-28.4,2015,2015-2015
9,1,10,,,-19.0,2015.0,2015-2015,-25.7,2015,2015-2015
10,1,11,,,-18.7,2015.0,2015-2015,-28.2,2015,2015-2015
11,1,12,,,-20.0,2015.0,2015-2015,-30.9,2015,2015-2015
12,1,13,,,-9.9,2015.0,2015-2015,-20.4,2015,2015-2015
13,1,14,,,-11.7,2015.0,2015-2015,-18.0,2015,2015-2015
14,1,15,,,-12.2,2015.0,2015-2015,-26.1,2015,2015-2015
15,1,16,,,-22.0,2015.0,2015-2015,-30.5,2015,2015-2015
16,1,17,,,-10.9,2015.0,2015-2015,-22.0,2015,2015-2015
17,1,18,,,-11.8,2015.0,2015-2015,-29.4,2015,2015-2015
18,1,19,,,-20.8,2015.0,2015-2015,-33.5,2015,2015-2015
19,1,20,,,-14.8,2015.0,2015-2015,-29.6,2015,2015-2015
20,1,21,,,-15.0,2015.0,2015-2015,-21.5,2015,2015-2015
21,1,22,,,-3.6,2015.0,2015-2015,-24.2,2015,2015-2015
22,1,23,,,-1.1,2015.0,2015-2015,-12.9,2015,2015-2015
23,1,24,,,-13.0,2015.0,2015-2015,-26.0,2015,2015-2015
24,1,25,,,-16.3,2015.0,2015-2015,-29.8,2015,2015-2015
25,1,26,,,-8.8,2015.0,2015-2015,-22.0,2015,2015-2015
26,1,27,,,-2.1,2015.0,2015-2015,-8.9,2015,2015-2015
27,1,28,,,-3.6,2015.0,2015-2015,-16.0,2015,2015-2015
28,1,29,,,-16.0,2015.0,2015-2015,-26.0,2015,2015-2015
29,1,30,,,-15.9,2015.0,2015-2015,-28.3,2015,2015-2015
30,1,31,,,-17.0,2015.0,2015-2015,-31.0,2015,2015-2015
31,2,1,,,-19.5,2015.0,2015-2015,-33.8,2015,2015-2015
32,2,2,,,-17.7,2015.0,2015-2015,-29.6,2015,2015-2015
33,2,3,,,-19.4,2015.0,2015-2015,-28.2,2015,2015-2015
34,2,4,,,-22.7,2015.0,2015-2015,-31.7,2015,2015-2015
35,2,5,,,-17.3,2015.0,2015-2015,-30.9,2015,2015-2015
36,2,6,,,-19.0,2015.0,2015-2015,-26.8,2015,2015-2015
