,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,3.2,2005,2000-2015,-25.9,2014,2000-2015
1,1,2,,,3.6,2012,2000-2015,-40.0,2014,2000-2015
2,1,3,,,3.6,2012,2000-2015,-27.6,2014,2000-2015
3,1,4,,,3.2,2010,2000-2015,-27.6,2015,2000-2015
4,1,5,,,3.3,2000,2000-2015,-23.8,2005,2000-2015
5,1,6,,,1.7,2007,2000-2015,-25.5,2005,2000-2015
6,1,7,,,4.0,2006,2000-2015,-22.2,2015,2000-2015
7,1,8,,,1.8,2003,2000-2015,-25.2,2015,2000-2015
8,1,9,,,1.3,2007,2000-2015,-21.4,2014,2000-2015
9,1,10,,,1.2,2008,2000-2015,-20.7,2005,2000-2015
10,1,11,,,0.7,2000,2000-2014,-40.0,2015,2000-2015
11,1,12,,,2.3,2014,2000-2014,-20.2,2006,2000-2014
12,1,13,,,1.4,2010,2000-2014,-20.3,2009,2000-2014
13,1,14,,,8.2,2005,2000-2014,-22.7,2007,2000-2014
14,1,15,,,8.7,2006,2000-2014,-23.1,2009,2000-2014
15,1,16,,,7.6,2006,2000-2015,-23.3,2009,2000-2014
16,1,17,,,-1.1,2006,2000-2015,-26.0,2007,2000-2015
17,1,18,,,2.1,2015,2000-2015,-26.2,2003,2000-2015
18,1,19,,,3.6,2006,2000-2015,-24.7,2001,2000-2015
19,1,20,,,2.4,2015,2000-2015,-24.6,2002,2000-2015
20,1,21,,,2.1,2000,2000-2015,-25.4,2009,2000-2015
21,1,22,,,3.5,2000,2000-2015,-23.8,2005,2000-2015
22,1,23,,,-0.3,2004,2000-2015,-26.8,2005,2000-2015
23,1,24,,,0.5,2005,2000-2015,-25.2,2002,2000-2015
24,1,25,,,4.6,2015,2000-2015,-24.2,2009,2000-2015
25,1,26,,,5.5,2000,2000-2015,-25.0,2005,2000-2015
26,1,27,,,4.0,2000,2000-2015,-29.2,2005,2000-2015
27,1,28,,,3.0,2003,2000-2015,-22.4,2015,2000-2015
28,1,29,,,0.5,2004,2000-2015,-27.9,2002,2000-2015
29,1,30,,,-1.4,2004,2000-2015,-30.4,2002,2000-2015
30,1,31,,,7.5,2013,2000-2015,-28.9,2001,2000-2015
31,2,1,,,3.8,2013,2000-2015,-23.8,2007,2000-2015
32,2,2,,,0.6,2003,2000-2015,-24.6,2012,2000-2015
33,2,3,,,2.8,2015,2000-2015,-28.5,2015,2000-2015
34,2,4,,,2.5,2013,2000-2015,-25.5,2001,2000-2015
35,2,5,,,1.8,2003,2000-2015,-24.4,2015,2000-2015
36,2,6,,,1.2,2010,2000-2015,-27.0,2000,2000-2015
37,2,7,,,1.2,2010,2000-2015,-27.4,2000,2000-2015
38,2,8,,,1.1,2010,2000-2015,-24.8,2000,2000-2015
39,2,9,,,1.4,2010,2000-2015,-27.4,2015,2000-2015
40,2,10,,,1.5,2010,2000-2014,-24.5,2007,2000-2014
41,2,11,,,2.3,2012,2000-2014,-27.4,2011,2000-2014
42,2,12,,,5.9,2012,2000-2014,-27.7,2002,2000-2014
43,2,13,,,2.6,2010,2000-2014,-23.5,2011,2000-2014
44,2,14,,,0.0,2010,2000-2014,-25.0,2001,2000-2014
45,2,15,,,0.6,2010,2000-2014,-26.5,2004,2000-2014
46,2,16,,,2.6,2005,2000-2014,-26.7,2004,2000-2014
47,2,17,,,2.3,2010,2000-2014,-23.4,2003,2000-2014
48,2,18,,,2.8,2006,2000-2014,-23.2,2003,2000-2014
49,2,19,,,2.0,2011,2000-2014,-23.1,2003,2000-2014
50,2,20,,,2.0,2011,2000-2014,-24.4,2006,2000-2014
51,2,21,,,1.8,2010,2000-2014,-23.3,2005,2000-2014
52,2,22,,,3.7,2010,2000-2014,-21.7,2006,2000-2014
53,2,23,,,0.5,2000,2000-2014,-24.8,2001,2000-2014
54,2,24,,,0.8,2007,2000-2014,-20.6,2002,2000-2014
55,2,25,,,5.4,2010,2000-2014,-18.5,2002,2000-2014
56,2,26,,,3.2,2010,2000-2014,-17.7,2000,2000-2014
57,2,27,,,4.2,2002,2000-2014,-20.2,2012,2000-2014
58,2,28,,,5.3,2002,2000-2014,-22.7,2012,2000-2014
59,2,29,,,8.2,2000,2000-2012,-22.8,2012,2000-2012
60,3,1,,,2.0,2013,2000-2014,-25.8,2012,2000-2014
61,3,2,,,2.0,2013,2000-2014,-24.7,2012,2000-2014
62,3,3,,,3.0,2005,2000-2014,-27.2,2014,2000-2014
63,3,4,,,6.7,2002,2000-2014,-25.1,2014,2000-2014
64,3,5,,,1.9,2006,2000-2014,-21.4,2003,2000-2014
65,3,6,,,1.2,2006,2000-2014,-21.2,2003,2000-2014
66,3,7,,,0.5,2010,2000-2014,-23.1,2003,2000-2014
67,3,8,,,3.1,2012,2000-2014,-24.2,2007,2000-2014
68,3,9,,,5.6,2012,2000-2014,-21.5,2007,2000-2014
69,3,10,,,4.7,2002,2000-2014,-24.1,2014,2000-2014
70,3,11,,,5.1,2002,2000-2014,-23.7,2003,2000-2014
71,3,12,,,2.6,2013,2000-2014,-18.7,2009,2000-2014
72,3,13,,,5.8,2013,2000-2014,-23.0,2003,2000-2014
73,3,14,,,2.8,2007,2000-2014,-24.3,2003,2000-2014
74,3,15,,,2.3,2013,2000-2014,-21.8,2014,2000-2014
75,3,16,,,3.8,2010,2000-2014,-23.2,2003,2000-2014
76,3,17,,,4.2,2012,2000-2014,-24.5,2004,2000-2014
77,3,18,,,3.5,2012,2000-2014,-25.7,2000,2000-2014
78,3,19,,,2.9,2001,2000-2014,-24.1,2000,2000-2014
