,month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
0,1,1,,,-17.0,2001,1985-2006,-37.0,1993,1985-2006
1,1,2,,,-18.5,1994,1985-2007,-38.0,1996,1985-2006
2,1,3,,,-18.0,1995,1985-2008,-42.0,2008,1985-2008
3,1,4,,,-15.0,2001,1985-2007,-41.5,1994,1985-2007
4,1,5,,,-15.2,2003,1985-2007,-40.0,2008,1985-2008
5,1,6,,,-18.0,1999,1985-2007,-41.0,1993,1985-2009
6,1,7,,,-11.0,1999,1985-2006,-42.5,1989,1985-2006
7,1,8,,,-17.0,1999,1985-2009,-44.0,2002,1985-2009
8,1,9,,,-14.5,1985,1985-2009,-42.0,1989,1985-2009
9,1,10,,,-13.8,2003,1985-2008,-41.5,1989,1985-2009
10,1,11,,,-21.2,2003,1985-2008,-42.5,1996,1985-2008
11,1,12,,,-17.2,2007,1985-2008,-43.5,1996,1985-2008
12,1,13,,,-17.0,2007,1985-2009,-41.0,1994,1985-2009
13,1,14,,,-16.0,2003,1985-2009,-41.0,1994,1985-2009
14,1,15,,,-12.5,1985,1985-2009,-43.5,1996,1985-2009
15,1,16,,,-11.5,1985,1985-2009,-42.0,1989,1985-2009
16,1,17,,,-13.0,1985,1985-2008,-43.0,1989,1985-2009
17,1,18,,,-15.0,1985,1985-2008,-43.0,1991,1985-2008
18,1,19,,,-20.5,1995,1985-2008,-42.5,1994,1985-2008
19,1,20,,,-17.5,1985,1985-2009,-42.5,1998,1985-2009
20,1,21,,,-13.0,1985,1985-2009,-43.0,1998,1985-2009
21,1,22,,,-11.5,1985,1985-2009,-47.0,2008,1985-2009
22,1,23,,,-16.0,1985,1985-2009,-43.0,1997,1985-2009
23,1,24,,,-15.0,1996,1985-2008,-41.5,1992,1985-2009
24,1,25,,,-17.0,1996,1985-2008,-42.0,1993,1985-2008
25,1,26,,,-20.0,1996,1985-2008,-45.0,1998,1985-2008
26,1,27,,,-17.0,1986,1985-2009,-45.5,1989,1985-2009
27,1,28,,,-12.5,1986,1985-2009,-42.0,1994,1985-2009
28,1,29,,,-11.0,1986,1985-2009,-41.0,1994,1985-2009
29,1,30,,,-10.0,1986,1985-2009,-44.5,1989,1985-2009
30,1,31,,,-6.5,2008,1985-2008,-45.5,1989,1985-2009
31,2,1,,,-7.5,2000,1985-2007,-44.5,1989,1985-2007
32,2,2,,,-11.5,2000,1985-2007,-43.0,1995,1985-2007
33,2,3,,,-18.0,1994,1985-2007,-43.0,1995,1985-2007
34,2,4,,,-14.0,1996,1985-2009,-42.5,2004,1985-2009
35,2,5,,,-12.5,2002,1985-2009,-40.5,1993,1985-2009
36,2,6,,,-14.0,1993,1985-2009,-40.5,1995,1985-2009
37,2,7,,,-17.5,2007,1985-2007,-43.0,1990,1985-2009
38,2,8,,,-18.5,2007,1985-2007,-46.0,1990,1985-2007
39,2,9,,,-17.0,1999,1985-2007,-47.0,1990,1985-2007
40,2,10,,,-10.0,1986,1985-2009,-42.0,1989,1985-2009
41,2,11,,,-10.0,1986,1985-2009,-43.5,1997,1985-2009
42,2,12,,,-18.0,1986,1985-2009,-45.0,1997,1985-2009
43,2,13,,,-12.0,1986,1985-2009,-44.0,1997,1985-2009
44,2,14,,,-8.5,1986,1985-2007,-43.5,1994,1985-2009
45,2,15,,,-5.0,1988,1985-2007,-41.0,1990,1985-2007
46,2,16,,,-11.5,1986,1985-2007,-41.5,1998,1985-2007
47,2,17,,,-0.5,1986,1985-2009,-43.0,1997,1985-2009
48,2,18,,,-1.0,1986,1985-2009,-44.5,1998,1985-2009
49,2,19,,,-11.5,1996,1985-2009,-44.5,1998,1985-2009
50,2,20,,,-14.5,1986,1985-2009,-45.0,1998,1985-2009
51,2,21,,,-10.5,1986,1985-2007,-41.0,1990,1985-2009
52,2,22,,,-14.5,1996,1985-2007,-41.5,1990,1985-2007
53,2,23,,,-15.5,1996,1985-2007,-42.0,1990,1985-2007
54,2,24,,,-13.0,2005,1985-2009,-44.0,1985,1985-2009
55,2,25,,,-15.5,2005,1985-2009,-43.0,1985,1985-2009
56,2,26,,,-15.0,2001,1985-2009,-45.0,1997,1985-2009
57,2,27,,,-17.0,1986,1985-2009,-45.0,1997,1985-2009
58,2,28,,,-17.0,1986,1985-2009,-45.0,1997,1985-2009
59,2,29,,,-23.5,1988,1988-2000,-41.0,2000,1996-2004
60,3,1,,,-16.0,1998,1985-2007,-44.0,1994,1985-2008
61,3,2,,,-16.0,1986,1985-2007,-44.5,1994,1985-2007
