date,T_high,T_low,h_rain,h_snow,h_all_precip,temp_src_id,precip_src_id
2014-01-01,-22.5,-32.3,0.0,0.0,0.0,,
2014-01-02,-25.8,-36.0,0.0,0.0,0.0,,
2014-01-03,-12.6,-34.8,0.0,48.0,1.8,,
2014-01-04,-3.5,-12.6,0.0,60.0,3.4,,
2014-01-05,-6.7,-11.8,0.0,80.0,4.2,,
2014-01-06,-11.7,-23.1,0.0,130.0,7.4,,
2014-01-07,-17.7,-24.2,0.0,8.0,0.4,,
2014-01-08,-11.9,-21.6,0.0,0.0,0.0,,
2014-01-09,-8.6,-21.5,0.0,0.0,0.0,,
2014-01-10,-1.6,-9.5,0.4,6.0,0.7,,
2014-01-11,1.7,-1.6,6.6,20.0,8.0,,
2014-01-12,0.0,-2.2,0.0,4.0,0.2,,
2014-01-13,1.8,-0.4,0.2,16.0,1.6,,
2014-01-14,0.1,-7.3,0.0,10.0,0.6,,
2014-01-15,-7.4,-18.8,0.0,80.0,6.2,,
2014-01-16,-6.0,-15.3,0.0,40.0,1.8,,
2014-01-17,-4.0,-8.0,0.0,78.0,4.2,,
2014-01-18,-6.0,-16.3,0.0,16.0,1.0,,
2014-01-19,-4.9,-21.5,0.0,46.0,2.6,,
2014-01-20,-20.7,-28.3,0.0,0.0,0.0,,
2014-01-21,-23.2,-31.5,0.0,0.0,0.0,,
2014-01-22,-21.0,-33.5,0.0,0.0,0.0,,
2014-01-23,-22.2,-29.1,0.0,0.0,0.0,,
2014-01-24,-8.9,-29.2,0.4,92.0,4.6,,
2014-01-25,-8.4,-28.2,0.0,59.0,3.8,,
2014-01-26,-19.3,-30.4,0.6,32.0,2.8,,
2014-01-27,-19.1,-25.9,0.0,30.0,2.4,,
2014-01-28,-15.2,-27.8,0.0,0.0,0.0,,
2014-01-29,-12.4,-17.2,0.0,20.0,1.0,,
2014-01-30,-4.9,-14.0,0.6,46.0,2.6,,
2014-01-31,-5.0,-16.2,0.0,2.0,0.2,,
2014-02-01,-9.2,-17.5,0.0,42.0,2.8,,
2014-02-02,-7.1,-15.8,0.0,0.0,0.0,,
2014-02-03,-10.6,-19.6,0.0,0.0,0.0,,
2014-02-04,-7.9,-16.4,0.0,4.0,0.2,,
2014-02-05,-12.0,-20.0,0.0,0.0,0.0,,
2014-02-06,-12.1,-22.5,0.0,0.0,0.0,,
2014-02-07,-11.5,-15.1,0.0,0.0,0.0,,
