date,T_high,T_low,h_rain,h_snow,h_all_precip,temp_src_id,precip_src_id
2014-01-01,-18.3,-32.4,0.0,0.0,0.0,,1881.0
2014-01-02,-3.4,-21.8,0.0,65.0,6.5,,1881.0
2014-01-03,-2.9,-19.4,0.0,0.0,0.0,,1881.0
2014-01-04,-18.4,-28.5,0.0,0.0,0.0,,1881.0
2014-01-05,-27.6,-31.8,0.0,0.0,0.0,,1881.0
2014-01-06,-15.1,-30.6,0.0,0.0,0.0,,1881.0
2014-01-07,-17.1,-19.9,0.0,0.0,0.0,,1881.0
2014-01-08,-10.0,-17.7,0.0,0.0,0.0,46129.0,1881.0
2014-01-09,-9.1,-12.1,0.0,0.0,0.0,,1881.0
2014-01-10,-2.7,-11.8,0.0,0.0,0.0,,1881.0
2014-01-11,1.4,-12.2,0.0,0.0,0.0,,1881.0
2014-01-12,-2.0,-17.4,0.0,0.0,0.0,,1881.0
2014-01-13,1.4,-12.0,0.0,0.0,0.0,,1881.0
2014-01-14,4.1,-8.1,0.0,0.0,0.0,,1881.0
2014-01-15,9.8,0.4,0.0,0.0,0.0,,1881.0
2014-01-16,0.6,-4.5,0.0,0.0,0.0,,1881.0
2014-01-17,5.6,-3.9,0.0,0.0,0.0,,1881.0
2014-01-18,5.1,-6.0,0.0,0.0,0.0,,1881.0
2014-01-19,4.3,-11.0,0.0,0.0,0.0,,1881.0
2014-01-20,-6.3,-20.6,0.0,0.0,0.0,,1881.0
2014-01-21,-1.9,-11.9,0.0,0.0,0.0,,1881.0
2014-01-22,-11.9,-22.3,0.0,0.0,0.0,,1881.0
2014-01-23,4.1,-16.9,0.0,0.0,0.0,,1881.0
2014-01-24,5.1,0.5,0.0,0.0,0.0,,1881.0
2014-01-25,6.2,0.9,0.0,0.0,0.0,,1881.0
2014-01-26,3.3,-18.7,0.0,0.0,0.0,,1881.0
2014-01-27,-16.1,-24.7,0.0,0.0,0.0,,1881.0
2014-01-28,-4.9,-21.2,0.0,0.0,0.0,,1881.0
2014-01-29,-7.3,-18.1,0.0,0.0,0.0,,1881.0
2014-01-30,-18.0,-24.1,0.0,0.0,0.0,,1881.0
2014-01-31,-12.3,-19.6,0.0,0.0,0.0,,1881.0
2014-02-01,-9.3,-15.1,0.0,0.0,0.0,,1881.0
2014-02-02,-10.4,-17.0,0.0,0.0,0.0,,1881.0
2014-02-03,-14.8,-20.2,0.0,0.0,0.0,,1881.0
2014-02-04,-18.4,-23.4,0.0,0.0,0.0,,1881.0
2014-02-05,-18.9,-26.1,0.0,0.0,0.0,,1881.0
2014-02-06,-12.3,-24.7,0.0,0.0,0.0,,1881.0
2014-02-07,-12.4,-27.3,0.0,10.0,1.0,,1881.0
2014-02-08,-18.0,-28.5,0.0,0.0,0.0,,1881.0
2014-02-09,-20.2,-32.0,0.0,0.0,0.0,,1881.0
2014-02-10,-17.4,-32.2,0.0,20.0,2.0,,1881.0
2014-02-11,-17.5,-24.4,0.0,10.0,1.0,,1881.0
2014-02-12,-16.9,-21.8,0.0,30.0,3.0,,1881.0
2014-02-13,-15.5,-22.6,0.0,0.0,0.0,,1881.0
2014-02-14,-6.2,-17.4,0.0,0.0,0.0,,1881.0
2014-02-15,-9.6,-20.4,0.0,0.0,0.0,,1881.0
2014-02-16,-2.1,-12.9,0.0,0.0,0.0,,1881.0
2014-02-17,1.3,-11.0,0.0,0.0,0.0,,1881.0
2014-02-18,1.6,-10.8,0.0,0.0,0.0,,1881.0
2014-02-19,-4.5,-11.7,0.0,10.0,1.0,,1881.0
2014-02-20,-7.4,-12.2,0.0,0.0,0.0,,1881.0
2014-02-21,-8.3,-12.0,0.0,25.0,2.5,,1881.0
2014-02-22,-12.0,-24.6,0.0,0.0,0.0,,1881.0
2014-02-23,-21.4,-32.6,0.0,0.0,0.0,,1881.0
2014-02-24,-15.7,-33.8,0.0,0.0,0.0,,1881.0
2014-02-25,-13.3,-33.6,0.0,0.0,0.0,,1881.0
2014-02-26,-9.6,-22.2,0.0,0.0,0.0,,1881.0
2014-02-27,-10.4,-24.5,0.0,0.0,0.0,,1881.0
2014-02-28,-19.7,-32.6,0.0,0.0,0.0,,1881.0
2014-03-01,-23.7,-37.9,0.0,0.0,0.0,,1881.0
2014-03-02,-20.7,-36.5,0.0,10.0,1.0,,1881.0
2014-03-03,-16.4,-23.2,0.0,0.0,0.0,,1881.0
2014-03-04,-13.5,-24.8,0.0,10.0,1.0,,1881.0
2014-03-05,-11.8,-24.1,0.0,5.0,0.5,,1881.0
2014-03-06,-12.2,-24.9,0.0,0.0,0.0,,1881.0
2014-03-07,-9.5,-26.3,0.0,0.0,0.0,,1881.0
2014-03-08,4.2,-13.6,0.0,0.0,0.0,,1881.0
2014-03-09,7.3,-6.9,0.0,0.0,0.0,,1881.0
2014-03-10,5.6,-2.1,0.0,0.0,0.0,,1881.0
2014-03-11,5.0,-3.7,0.0,0.0,0.0,,1881.0
2014-03-12,9.2,1.4,0.0,0.0,0.0,,1881.0
2014-03-13,5.8,-1.9,0.0,0.0,0.0,,1881.0
2014-03-14,3.5,-6.3,0.0,0.0,0.0,,1881.0
2014-03-15,5.8,-4.9,0.0,0.0,0.0,,1881.0
2014-03-16,9.4,0.2,0.0,0.0,0.0,,1881.0
2014-03-17,6.5,-2.7,0.0,0.0,0.0,,1881.0
2014-03-18,5.7,-1.4,0.0,0.0,0.0,,1881.0
2014-03-19,7.8,-4.2,0.0,0.0,0.0,,1881.0
2014-03-20,1.9,-10.3,0.0,0.0,0.0,,1881.0
2014-03-21,-8.6,-16.4,0.0,0.0,0.0,,1881.0
2014-03-22,-4.7,-17.1,0.0,0.0,0.0,,1881.0
2014-03-23,-4.2,-16.3,0.0,0.0,0.0,,1881.0
2014-03-24,-6.3,-14.7,0.0,0.0,0.0,,1881.0
2014-03-25,-1.3,-15.4,0.0,25.0,2.5,,1881.0
2014-03-26,-4.7,-9.9,0.0,10.0,1.0,,1881.0
2014-03-27,-4.9,-12.6,0.0,0.0,0.0,46129.0,1881.0
2014-03-28,-2.1,-18.6,0.0,0.0,0.0,,1881.0
2014-03-29,0.9,-10.0,0.0,0.0,0.0,,1881.0
2014-03-30,-5.3,-14.9,0.0,0.0,0.0,,1881.0
2014-03-31,-7.5,-15.9,0.0,0.0,0.0,,1881.0
2014-04-01,0.4,-10.8,0.0,0.0,0.0,,1881.0
2014-04-02,-0.2,-11.8,0.0,80.0,8.0,,1881.0
2014-04-03,-1.4,-8.7,0.0,0.0,0.0,,1881.0
2014-04-04,8.7,-3.9,0.0,0.0,0.0,,1881.0
2014-04-05,9.5,-1.2,0.0,0.0,0.0,,1881.0
2014-04-06,11.0,-4.4,0.0,0.0,0.0,,1881.0
2014-04-07,13.2,0.1,0.0,0.0,0.0,,1881.0
2014-04-08,19.1,1.3,0.0,0.0,0.0,,1881.0
2014-04-09,11.3,0.8,0.0,0.0,0.0,,1881.0
2014-04-10,10.6,-0.8,0.0,0.0,0.0,,1881.0
2014-04-11,11.5,-1.5,0.0,0.0,0.0,,1881.0
2014-04-12,2.2,-6.5,0.0,10.0,1.0,,1881.0
2014-04-13,0.7,-9.3,0.0,0.0,0.0,,1881.0
2014-04-14,8.8,-11.0,0.0,0.0,0.0,,1881.0
2014-04-15,3.9,-3.6,0.0,8.0,0.8,,1881.0
2014-04-16,-1.2,-8.7,0.0,6.0,0.6,,1881.0
2014-04-17,1.1,-4.1,1.2,0.0,1.2,,1881.0
2014-04-18,2.8,0.1,0.0,0.0,0.0,,1881.0
2014-04-19,13.3,-0.4,0.6,0.0,0.6,,1881.0
2014-04-20,10.5,-0.2,2.2,0.0,2.2,,1881.0
2014-04-21,18.2,-0.9,0.0,0.0,0.0,,1881.0
2014-04-22,22.5,3.5,11.6,0.0,11.6,,1881.0
2014-04-23,12.6,2.9,13.2,0.0,13.2,,1881.0
2014-04-24,6.1,0.0,0.0,0.0,0.0,,1881.0
2014-04-25,4.4,-1.2,0.0,0.0,0.0,,1881.0
2014-04-26,6.0,0.1,6.8,0.0,6.8,,1881.0
2014-04-27,6.8,0.5,0.0,0.0,0.0,,1881.0
2014-04-28,11.2,2.1,1.0,0.0,1.0,,1881.0
2014-04-29,16.9,-1.7,0.0,0.0,0.0,,1881.0
2014-04-30,20.5,-2.5,0.0,0.0,0.0,,1881.0
2014-05-01,20.1,4.0,0.0,0.0,0.0,,1881.0
2014-05-02,10.8,2.1,0.0,0.0,0.0,,1881.0
2014-05-03,4.6,-1.4,0.0,15.0,1.5,,1881.0
2014-05-04,6.4,-4.3,2.4,0.0,2.4,,1881.0
2014-05-05,8.6,-0.8,2.0,0.0,2.0,,1881.0
2014-05-06,5.8,-3.7,0.0,0.0,0.0,,1881.0
2014-05-07,7.3,-5.4,0.0,0.0,0.0,,1881.0
2014-05-08,16.3,-4.3,0.0,0.0,0.0,,1881.0
2014-05-09,13.6,0.1,0.0,0.0,0.0,,1881.0
2014-05-10,9.8,-5.3,0.0,0.0,0.0,,1881.0
2014-05-11,12.6,-5.5,0.0,0.0,0.0,,1881.0
2014-05-12,16.1,-0.6,0.0,0.0,0.0,,1881.0
2014-05-13,14.9,0.3,0.0,0.0,0.0,,1881.0
2014-05-14,21.4,-1.7,4.0,0.0,4.0,,1881.0
2014-05-15,20.1,5.7,4.0,0.0,4.0,,1881.0
2014-05-16,13.6,5.5,0.6,0.0,0.6,,1881.0
